"Registry name","Profession","Level","Buy 1","Buy 2","Sell"
"","","","Emerald","","Apple Cider"
"","","","Emerald","","Hamburger"
"","","4","","",""
"","","","Milk Bucket","","Emerald"
"","","","Sweet Berries","","Emerald"
"","","","Honey Bottle","","Emerald"
"","","","Emerald","","Barbecue on a Stick"
"","","","Emerald","","Milk Bottle"
"","","","Emerald","","Mixed Salad"
"","","","Emerald","","Fruit Salad"
"","","5","","",""
"","","","Glass Bottle","","Emerald"
"","","","Sugar","","Emerald"
"","","","Pie Crust","","Emerald"
"","","","Emerald","","Stuffed Potato"
"","","","Emerald","","Slice of Apple Pie"
"","","","Emerald","","Slice of Chocolate Pie"
"friendsandfoes:beekeeper","beekeeper","","","",""
"","","1","","",""
"","","","Buttercup","","Emerald"
"","","","Dandelion","","Emerald"
"","","","Sunflower","","Emerald"
"","","","Buttercup","","Emerald"
"","","","Dandelion","","Emerald"
"","","","Sunflower","","Emerald"
"","","","Buttercup","","Emerald"
"","","","Dandelion","","Emerald"
"","","","Sunflower","","Emerald"
"","","","Buttercup","","Emerald"
"","","","Dandelion","","Emerald"
"","","","Sunflower","","Emerald"
"","","2","","",""
"","","","Glass Bottle","","Emerald"
"","","","Emerald","","Honey Bottle"
"","","","Glass Bottle","","Emerald"
"","","","Emerald","","Honey Bottle"
"","","","Glass Bottle","","Emerald"
"","","","Emerald","","Honey Bottle"
"","","","Glass Bottle","","Emerald"
"","","","Emerald","","Honey Bottle"
"","","3","","",""
"","","","Shears","","Emerald"
"","","","Emerald","","Honey Block"
"","","","Shears","","Emerald"
"","","","Emerald","","Honey Block"
"","","","Shears","","Emerald"
"","","","Emerald","","Honey Block"
"","","","Shears","","Emerald"
"","","","Emerald","","Honey Block"
"","","4","","",""
"","","","Emerald","","Honeycomb"
"","","","Emerald","","Honeycomb Block"
"","","","Emerald","","Honeycomb"
"","","","Emerald","","Honeycomb Block"
"","","","Emerald","","Honeycomb"
"","","","Emerald","","Honeycomb Block"
"","","","Emerald","","Honeycomb"
"","","","Emerald","","Honeycomb Block"
"","","5","","",""
"","","","Emerald","","Oak Beehive"
"","","","Emerald","","Bee Nest"
"","","","Emerald","","Oak Beehive"
"","","","Emerald","","Bee Nest"
"","","","Emerald","","Oak Beehive"
"","","","Emerald","","Bee Nest"
"","","","Emerald","","Oak Beehive"
"","","","Emerald","","Bee Nest"
"meadow:cheesemaker","meadow:cheesemaker","","","",""
"","","1","","",""
"","","","Emerald","","Rennet"
"","","2","","",""
"","","","Emerald","","Cooking Cauldron"
"","","3","","",""
"","","","Emerald","","Tiled Stove"
"","","4","","",""
"","","","Emerald","","Wooden Bucket"
"","","","Emerald","","Wooden Milk Bucket"
"","","5","","",""
"","","","Emerald","","Cheese Wheel"
"","","","Emerald","","Cheese Press"
"","","","Emerald","","Amethyst Cheese Wheel"
"","","","Emerald","","Grain Cheese Wheel"
"","","","Emerald","","Wooden Bucket of Warped Milk"
"meadow:hermit","meadow:hermit","","","",""
"","","1","","",""
"","","","Pine Bench","","Emerald"
"","","","Pine Log","","Emerald"
"","","","Emerald","","Pine Sapling"
"","","","Emerald","","Pine Slab"
"","","2","","",""
"","","","Pine Shelf","","Emerald"
"","","","Wooden Bucket of Sheep Milk","","Emerald"
"","","","Emerald","","Watering Can"
"","","","Emerald","","Cheese Sandwich"
"","","3","","",""
"","","","Emerald","","Pine Planks"
"","","","Emerald","","Frame"
"","","4","","",""
"","","","Emerald","","Wooden Bucket"
"","","","Emerald","","Rabbit Hide"
"","","","Emerald","","Fire Log"
"","","5","","",""
"","","","Emerald","","Iron Axe"
"","","","Emerald","","Wooden Cauldron"
"","","","Emerald","","Alpine Salt"
"minecraft:armorer","armorer","","","",""
"","","1","","",""
"","","","Coal","","Emerald"
"","","","Emerald","","Iron Leggings"
"","","","Emerald","","Iron Boots"
"","","","Emerald","","Iron Helmet"
"","","","Emerald","","Iron Chestplate"
"","","2","","",""
"","","","Iron Ingot","","Emerald"
"","","","Emerald","","Bell"
"","","","Emerald","","Chainmail Boots"
"","","","Emerald","","Chainmail Leggings"
"","","3","","",""
"","","","Lava Bucket","","Emerald"
"","","","Diamond","","Emerald"
"","","","Emerald","","Chainmail Helmet"
"","","","Emerald","","Chainmail Chestplate"
"","","","Emerald","","Shield"
"","","4","","",""
"","","","Emerald","","Diamond Leggings"
"","","","Emerald","","Diamond Boots"
"","","5","","",""
"","","","Emerald","","Diamond Helmet"
"","","","Emerald","","Diamond Chestplate"
"minecraft:butcher","butcher","","","",""
"","","1","","",""
"","","","Raw Chicken","","Emerald"
"","","","Raw Porkchop","","Emerald"
"","","","Raw Rabbit","","Emerald"
"","","","Emerald","","Rabbit Stew"
"","","2","","",""
"","","","Coal","","Emerald"
"","","","Emerald","","Cooked Porkchop"
"","","","Emerald","","Cooked Chicken"
"","","3","","",""
"","","","Raw Mutton","","Emerald"
"","","","Raw Beef","","Emerald"
"","","4","","",""
"","","","Dried Kelp Block","","Emerald"
"","","5","","",""
"","","","Sweet Berries","","Emerald"
"minecraft:cartographer","cartographer","","","",""
"","","1","","",""
"","","","Paper","","Emerald"
"","","","Emerald","","Empty Map"
"","","2","","",""
"","","","Glass Pane","","Emerald"
"","","skipping","map trade","lvl: 2","id: 1"
"","","3","","",""
"","","","Compass","","Emerald"
"","","skipping","map trade","lvl: 3","id: 1"
"","","4","","",""
"","","","Emerald","","Item Frame"
"","","","Emerald","","White Banner"
"","","","Emerald","","Blue Banner"
"","","","Emerald","","Light Blue Banner"
"","","","Emerald","","Red Banner"
"","","","Emerald","","Pink Banner"
"","","","Emerald","","Green Banner"
"","","","Emerald","","Lime Banner"
"","","","Emerald","","Gray Banner"
"","","","Emerald","","Black Banner"
"","","","Emerald","","Purple Banner"
"","","","Emerald","","Magenta Banner"
"","","","Emerald","","Cyan Banner"
"","","","Emerald","","Brown Banner"
"","","","Emerald","","Yellow Banner"
"","","","Emerald","","Orange Banner"
"","","","Emerald","","Light Gray Banner"
"","","5","","",""
"","","","Emerald","","Banner Pattern"
"","","","Emerald","","Antique Ink"
"minecraft:cleric","cleric","","","",""
"","","1","","",""
"","","","Rotten Flesh","","Emerald"
"","","","Emerald","","Redstone Dust"
"","","2","","",""
"","","","Gold Ingot","","Emerald"
"","","","Emerald","","Lapis Lazuli"
"","","3","","",""
"","","","Rabbit's Foot","","Emerald"
"","","","Emerald","","Glowstone"
"","","4","","",""
"","","","Scute","","Emerald"
"","","","Glass Bottle","","Emerald"
"","","","Emerald","","Ender Pearl"
"","","5","","",""
"","","","Nether Wart","","Emerald"
"","","","Emerald","","Bottle o' Enchanting"
"minecraft:farmer","farmer","","","",""
"","","1","","",""
"","","","Wheat","","Emerald"
"","","","Potato","","Emerald"
"","","","Carrot","","Emerald"
"","","","Beetroot","","Emerald"
"","","","Emerald","","Bread"
"","","","Emerald","","Pitchfork"
"","","","Emerald","","Dungarees"
"","","","Emerald","","Barley"
"","","","Emerald","","Oat"
"","","","Onion","","Emerald"
"","","","Tomato","","Emerald"
"","","2","","",""
"","","","Pumpkin","","Emerald"
"","","","Emerald","","Pumpkin Pie"
"","","","Emerald","","Apple"
"","","","Emerald","","Farmer Salad"
"","","","Cabbage","","Emerald"
"","","","Rice","","Emerald"
"","","3","","",""
"","","","Emerald","","Cookie"
"","","","Melon","","Emerald"
"","","","Flax Seeds","","Emerald"
"","","4","","",""
"","","","Emerald","","Cake"
"","","","Emerald","","Suspicious Stew"
"","","","Emerald","","Suspicious Stew"
"","","","Emerald","","Suspicious Stew"
"","","","Emerald","","Suspicious Stew"
"","","","Emerald","","Suspicious Stew"
"","","","Emerald","","Suspicious Stew"
"","","","Emerald","","Compost"
"","","5","","",""
"","","","Emerald","","Golden Carrot"
"","","","Emerald","","Glistering Melon Slice"
"","","","Emerald","","Fertilizer"
"minecraft:fisherman","fisherman","","","",""
"","","1","","",""
"","","","String","","Emerald"
"","","","Coal","","Emerald"
"","","","Emerald","Raw Cod","Cooked Cod"
"","","","Emerald","","Bucket of Cod"
"","","","Emerald","","Coconut Crab Claw"
"","","","Emerald","","Dungeness Crab Claw"
"","","","Emerald","","Flower Crab Claw"
"","","","Emerald","","Fiddler Crab Claw"
"","","","Emerald","","Ghost Crab Claw"
"","","","Emerald","","Lightfoot Crab Claw"
"","","","Emerald","","Yeti Crab Claw"
"","","","Emerald","","Vampire Crab Claw"
"","","","Emerald","","Spider Crab Claw"
"","","","Emerald","","Raw Fish Meat"
"","","","Emerald","","Fish Steak"
"","","2","","",""
"","","","Raw Cod","","Emerald"
"","","","Emerald","Raw Salmon","Cooked Salmon"
"","","","Emerald","","Campfire"
"","","","Emerald","","Fishing Net"
"","","","Emerald","","Barbed Hook"
"","","","Emerald","","Glowing Hook"
"","","","Emerald","","Magnetic Hook"
"","","3","","",""
"","","","Raw Salmon","","Emerald"
"","","","Emerald","","Fishing Rod"
"","","","Pearl","","Emerald"
"","","","Black Pearl","","Emerald"
"","","4","","",""
"","","","Tropical Fish","","Emerald"
"","","5","","",""
"","","","Pufferfish","","Emerald"
"minecraft:fletcher","fletcher","","","",""
"","","1","","",""
"","","","Stick","","Emerald"
"","","","Emerald","","Arrow"
"","","","Emerald","Gravel","Flint"
"","","2","","",""
"","","","Flint","","Emerald"
"","","","Emerald","","Bow"
"","","3","","",""
"","","","String","","Emerald"
"","","","Emerald","","Crossbow"
"","","4","","",""
"","","","Feather","","Emerald"
"","","","Emerald","","Bow"
"","","5","","",""
"","","","Tripwire Hook","","Emerald"
"","","","Emerald","","Crossbow"
"","","","Emerald","Arrow","Arrow Of End Veil"
"minecraft:leatherworker","leatherworker","","","",""
"","","1","","",""
"","","","Leather","","Emerald"
"","","","Emerald","","Leather Pants"
"","","","Emerald","","Leather Tunic"
"","","2","","",""
"","","","Flint","","Emerald"
"","","","Emerald","","Leather Cap"
"","","","Emerald","","Leather Boots"
"","","3","","",""
"","","","Rabbit Hide","","Emerald"
"","","","Emerald","","Leather Tunic"
"","","4","","",""
"","","","Scute","","Emerald"
"","","","Emerald","","Leather Horse Armor"
"","","5","","",""
"","","","Emerald","","Saddle"
"","","","Emerald","","Leather Cap"
"minecraft:librarian","librarian","","","",""
"","","1","","",""
"","","","Paper","","Emerald"
"","","","Emerald","Book","Enchanted Book"
"","","","Emerald","","Bookshelf"
"","","2","","",""
"","","","Book","","Emerald"
"","","","Emerald","Book","Enchanted Book"
"","","","Emerald","","Lantern"
"","","3","","",""
"","","","Ink Sac","","Emerald"
"","","","Emerald","Book","Enchanted Book"
"","","","Emerald","","Glass"
"","","4","","",""
"","","","Book and Quill","","Emerald"
"","","","Emerald","Book","Enchanted Book"
"","","","Emerald","","Clock"
"","","","Emerald","","Compass"
"","","5","","",""
"","","","Emerald","","Name Tag"
"minecraft:mason","mason","","","",""
"","","1","","",""
"","","","Clay Ball","","Emerald"
"","","","Emerald","","Brick"
"","","","Emerald","","Ash Brick"
"","","2","","",""
"","","","Stone","","Emerald"
"","","","Emerald","","Chiseled Stone Bricks"
"","","3","","",""
"","","","Granite","","Emerald"
"","","","Andesite","","Emerald"
"","","","Diorite","","Emerald"
"","","","Emerald","","Dripstone Block"
"","","","Emerald","","Polished Andesite"
"","","","Emerald","","Polished Diorite"
"","","","Emerald","","Polished Granite"
"","","4","","",""
"","","","Nether Quartz","","Emerald"
"","","","Emerald","","Orange Terracotta"
"","","","Emerald","","White Terracotta"
"","","","Emerald","","Blue Terracotta"
"","","","Emerald","","Light Blue Terracotta"
"","","","Emerald","","Gray Terracotta"
"","","","Emerald","","Light Gray Terracotta"
"","","","Emerald","","Black Terracotta"
"","","","Emerald","","Red Terracotta"
"","","","Emerald","","Pink Terracotta"
"","","","Emerald","","Magenta Terracotta"
"","","","Emerald","","Lime Terracotta"
"","","","Emerald","","Green Terracotta"
"","","","Emerald","","Cyan Terracotta"
"","","","Emerald","","Purple Terracotta"
"","","","Emerald","","Yellow Terracotta"
"","","","Emerald","","Brown Terracotta"
"","","","Emerald","","Orange Glazed Terracotta"
"","","","Emerald","","White Glazed Terracotta"
"","","","Emerald","","Blue Glazed Terracotta"
"","","","Emerald","","Light Blue Glazed Terracotta"
"","","","Emerald","","Gray Glazed Terracotta"
"","","","Emerald","","Light Gray Glazed Terracotta"
"","","","Emerald","","Black Glazed Terracotta"
"","","","Emerald","","Red Glazed Terracotta"
"","","","Emerald","","Pink Glazed Terracotta"
"","","","Emerald","","Magenta Glazed Terracotta"
"","","","Emerald","","Lime Glazed Terracotta"
"","","","Emerald","","Green Glazed Terracotta"
"","","","Emerald","","Cyan Glazed Terracotta"
"","","","Emerald","","Purple Glazed Terracotta"
"","","","Emerald","","Yellow Glazed Terracotta"
"","","","Emerald","","Brown Glazed Terracotta"
"","","5","","",""
"","","","Emerald","","Quartz Pillar"
"","","","Emerald","","Block of Quartz"
"minecraft:nitwit","nitwit","","","",""
"","","1","","",""
"","","2","","",""
"","","3","","",""
"","","4","","",""
"","","5","","",""
"minecraft:none","none","","","",""
"","","1","","",""
"","","2","","",""
"","","3","","",""
"","","4","","",""
"","","5","","",""
"minecraft:shepherd","shepherd","","","",""
"","","1","","",""
"","","","White Wool","","Emerald"
"","","","Brown Wool","","Emerald"
"","","","Black Wool","","Emerald"
"","","","Gray Wool","","Emerald"
"","","","Emerald","","Shears"
"","","2","","",""
"","","","White Dye","","Emerald"
"","","","Gray Dye","","Emerald"
"","","","Black Dye","","Emerald"
"","","","Light Blue Dye","","Emerald"
"","","","Lime Dye","","Emerald"
"","","","Emerald","","White Wool"
"","","","Emerald","","Orange Wool"
"","","","Emerald","","Magenta Wool"
"","","","Emerald","","Light Blue Wool"
"","","","Emerald","","Yellow Wool"
"","","","Emerald","","Lime Wool"
"","","","Emerald","","Pink Wool"
"","","","Emerald","","Gray Wool"
"","","","Emerald","","Light Gray Wool"
"","","","Emerald","","Cyan Wool"
"","","","Emerald","","Purple Wool"
"","","","Emerald","","Blue Wool"
"","","","Emerald","","Brown Wool"
"","","","Emerald","","Green Wool"
"","","","Emerald","","Red Wool"
"","","","Emerald","","Black Wool"
"","","","Emerald","","White Carpet"
"","","","Emerald","","Orange Carpet"
"","","","Emerald","","Magenta Carpet"
"","","","Emerald","","Light Blue Carpet"
"","","","Emerald","","Yellow Carpet"
"","","","Emerald","","Lime Carpet"
"","","","Emerald","","Pink Carpet"
"","","","Emerald","","Gray Carpet"
"","","","Emerald","","Light Gray Carpet"
"","","","Emerald","","Cyan Carpet"
"","","","Emerald","","Purple Carpet"
"","","","Emerald","","Blue Carpet"
"","","","Emerald","","Brown Carpet"
"","","","Emerald","","Green Carpet"
"","","","Emerald","","Red Carpet"
"","","","Emerald","","Black Carpet"
"","","3","","",""
"","","","Yellow Dye","","Emerald"
"","","","Light Gray Dye","","Emerald"
"","","","Orange Dye","","Emerald"
"","","","Red Dye","","Emerald"
"","","","Pink Dye","","Emerald"
"","","","Emerald","","White Bed"
"","","","Emerald","","Yellow Bed"
"","","","Emerald","","Red Bed"
"","","","Emerald","","Black Bed"
"","","","Emerald","","Blue Bed"
"","","","Emerald","","Brown Bed"
"","","","Emerald","","Cyan Bed"
"","","","Emerald","","Gray Bed"
"","","","Emerald","","Green Bed"
"","","","Emerald","","Light Blue Bed"
"","","","Emerald","","Light Gray Bed"
"","","","Emerald","","Lime Bed"
"","","","Emerald","","Magenta Bed"
"","","","Emerald","","Orange Bed"
"","","","Emerald","","Pink Bed"
"","","","Emerald","","Purple Bed"
"","","4","","",""
"","","","Brown Dye","","Emerald"
"","","","Purple Dye","","Emerald"
"","","","Blue Dye","","Emerald"
"","","","Green Dye","","Emerald"
"","","","Magenta Dye","","Emerald"
"","","","Cyan Dye","","Emerald"
"","","","Emerald","","White Banner"
"","","","Emerald","","Blue Banner"
"","","","Emerald","","Light Blue Banner"
"","","","Emerald","","Red Banner"
"","","","Emerald","","Pink Banner"
"","","","Emerald","","Green Banner"
"","","","Emerald","","Lime Banner"
"","","","Emerald","","Gray Banner"
"","","","Emerald","","Black Banner"
"","","","Emerald","","Purple Banner"
"","","","Emerald","","Magenta Banner"
"","","","Emerald","","Cyan Banner"
"","","","Emerald","","Brown Banner"
"","","","Emerald","","Yellow Banner"
"","","","Emerald","","Orange Banner"
"","","","Emerald","","Light Gray Banner"
"","","5","","",""
"","","","Emerald","","Painting"
"minecraft:toolsmith","toolsmith","","","",""
"","","1","","",""
"","","","Coal","","Emerald"
"","","","Emerald","","Stone Axe"
"","","","Emerald","","Stone Shovel"
"","","","Emerald","","Stone Pickaxe"
"","","","Emerald","","Stone Hoe"
"","","2","","",""
"","","","Iron Ingot","","Emerald"
"","","","Emerald","","Bell"
"","","3","","",""
"","","","Flint","","Emerald"
"","","","Emerald","","Iron Axe"
"","","","Emerald","","Iron Shovel"
"","","","Emerald","","Iron Pickaxe"
"","","","Emerald","","Diamond Hoe"
"","","4","","",""
"","","","Diamond","","Emerald"
"","","","Emerald","","Diamond Axe"
"","","","Emerald","","Diamond Shovel"
"","","5","","",""
"","","","Emerald","","Diamond Pickaxe"
"minecraft:weaponsmith","weaponsmith","","","",""
"","","1","","",""
"","","","Coal","","Emerald"
"","","","Emerald","","Iron Axe"
"","","","Emerald","","Iron Sword"
"","","2","","",""
"","","","Iron Ingot","","Emerald"
"","","","Emerald","","Bell"
"","","3","","",""
"","","","Flint","","Emerald"
"","","4","","",""
"","","","Diamond","","Emerald"
"","","","Emerald","","Diamond Axe"
"","","5","","",""
"","","","Emerald","","Diamond Sword"
"vinery:winemaker","vinery:winemaker","","","",""
"","","1","","",""
"","","","Red Grape","","Emerald"
"","","","White Grape","","Emerald"
"","","","Emerald","","Red Grape Seeds"
"","","","Emerald","","White Grape Seeds"
"","","2","","",""
"","","","Emerald","","Wine Bottle"
"","","3","","",""
"","","","Emerald","","Flower Box"
"","","","Emerald","","White Grape Bag"
"","","","Emerald","","Red Grape Bag"
"","","4","","",""
"","","","Emerald","","Basket"
"","","","Emerald","","Big Flower Pot"
"","","","Emerald","","Window"
"","","","Emerald","","Dark Cherry Beam"
"","","","Emerald","",""
"","","","Emerald","",""
"","","5","","",""
"","","","Emerald","","Wine Box"
"","","","Emerald","","Miss Lilitus Wine"
"","","","Emerald","",""
"wizards:wizard_merchant","wizards:wizard_merchant","","","",""
"","","1","","",""
"","","","Emerald","","Arcane Rune"
"","","","Emerald","","Fire Rune"
"","","","Emerald","","Frost Rune"
"","","2","","",""
"","","","Emerald","","Wizard Staff"
"","","","Emerald","","Novice Wand"
"","","","Emerald","","Arcane Wand"
"","","","Emerald","","Fire Wand"
"","","","Emerald","","Frost Wand"
"","","","White Wool","","Emerald"
"","","","Lapis Lazuli","","Emerald"
"","","3","","",""
"","","","Emerald","","Wizard Hat"
"","","","Emerald","","Wizard Boots"
"","","4","","",""
"","","","Emerald","","Wizard Robe Top"
"","","","Emerald","","Wizard Robe Bottom"
"","","5","","",""
"","","","Emerald","","Arcane Staff"
"","","","Emerald","","Fire Staff"
"","","","Emerald","","Frost Staff"
