"ID","Registry name","Temp.","RainType @ 0,0"
54,"minecraft:deep_frozen_ocean"," 0,50",RAIN
55,"minecraft:deep_lukewarm_ocean"," 0,50",RAIN
56,"minecraft:deep_ocean"," 0,50",RAIN
57,"terrablender:deferred_placeholder"," 0,50",RAIN
58,"minecraft:desert"," 2,00",RAIN
59,"still_life:desert_river"," 2,00",RAIN
60,"still_life:desert_wetlands"," 2,00",RAIN
61,"betterend:dragon_graveyards"," 0,50",RAIN
62,"minecraft:dripstone_caves"," 0,80",RAIN
63,"still_life:dry_cold_steppe"," 0,60",RAIN
64,"betterend:dry_shrubland"," 0,50",RAIN
65,"still_life:dry_tropical_highlands"," 0,95",RAIN
66,"betterend:dust_wastelands"," 0,50",RAIN
67,"betterend:empty_aurora_cave"," 0,50",RAIN
68,"betterend:empty_end_cave"," 0,50",RAIN
69,"betterend:empty_smaragdant_cave"," 0,50",RAIN
70,"minecraft:end_barrens"," 0,50",RAIN
71,"minecraft:end_highlands"," 0,50",RAIN
72,"minecraft:end_midlands"," 0,50",RAIN
73,"minecraft:eroded_badlands"," 2,00",RAIN
74,"still_life:evergreen_taiga"," 0,60",RAIN
75,"still_life:fen"," 2,00",RAIN
76,"betternether:flooded_deltas"," 2,00",RAIN
77,"still_life:flooded_grasslands"," 0,80",RAIN
78,"still_life:flooded_savanna"," 2,00",RAIN
79,"minecraft:flower_forest"," 0,70",RAIN
80,"betterend:foggy_mushroomland"," 0,50",RAIN
81,"minecraft:forest"," 0,70",RAIN
82,"still_life:frozen_caves","-1,00",RAIN
83,"minecraft:frozen_ocean"," 0,00",RAIN
84,"minecraft:frozen_peaks","-0,70",RAIN
85,"minecraft:frozen_river"," 0,00",RAIN
86,"still_life:glacial_basin","-2,00",RAIN
87,"still_life:glowing_caves"," 0,70",RAIN
88,"betterend:glowing_grasslands"," 0,50",RAIN
89,"still_life:grassland_savanna"," 2,00",RAIN
90,"betternether:gravel_desert"," 2,00",RAIN
91,"minecraft:grove","-0,20",RAIN
92,"still_life:haunted_depths"," 0,70",RAIN
93,"still_life:humid_savanna"," 0,95",RAIN
94,"minecraft:ice_spikes"," 0,00",RAIN
95,"betterend:ice_starfield"," 0,00",RAIN
96,"incendium:infernal_dunes"," 2,00",RAIN
97,"still_life:infested_tunnels"," 0,70",RAIN
98,"incendium:inverted_forest"," 2,00",RAIN
99,"betterend:jade_cave"," 0,50",RAIN
100,"minecraft:jagged_peaks","-0,70",RAIN
101,"minecraft:jungle"," 0,95",RAIN
102,"betterend:lantern_woods"," 0,50",RAIN
103,"still_life:larch_woodlands"," 0,60",RAIN
104,"galosphere:lichen_caves"," 0,50",RAIN
105,"minecraft:lukewarm_ocean"," 0,50",RAIN
106,"betterend:lush_aurora_cave"," 0,50",RAIN
107,"minecraft:lush_caves"," 0,50",RAIN
108,"betterend:lush_smaragdant_cave"," 0,50",RAIN
109,"still_life:lush_tundra"," 0,40",RAIN
110,"betternether:magma_land"," 2,00",RAIN
111,"still_life:mangrove_marsh"," 0,80",RAIN
112,"minecraft:mangrove_swamp"," 0,80",RAIN
113,"minecraft:meadow"," 0,50",RAIN
114,"still_life:mediterranean_beach"," 1,40",RAIN
115,"still_life:mediterranean_forest"," 1,50",RAIN
116,"still_life:mediterranean_highlands"," 1,00",RAIN
117,"still_life:mediterranean_marsh"," 1,30",RAIN
118,"still_life:mediterranean_river"," 1,40",RAIN
119,"still_life:mediterranean_shrubland"," 1,60",RAIN
120,"still_life:mediterranean_steppe"," 1,70",RAIN
121,"still_life:mediterranean_swamp"," 1,30",RAIN
122,"still_life:mediterranean_wooded_highlands"," 1,00",RAIN
123,"betterend:megalake"," 0,50",RAIN
124,"betterend:megalake_grove"," 0,50",RAIN
125,"still_life:mire"," 0,60",RAIN
126,"still_life:mixed_forest_steppe"," 0,70",RAIN
127,"still_life:monsoon_forest"," 0,95",RAIN
128,"still_life:mushroom_caves"," 0,70",RAIN
129,"minecraft:mushroom_fields"," 0,90",RAIN
130,"betterend:neon_oasis"," 0,50",RAIN
131,"betternether:nether_grasslands"," 2,00",RAIN
132,"betternether:nether_jungle"," 2,00",RAIN
133,"betternether:nether_mushroom_forest"," 2,00",RAIN
134,"betternether:nether_mushroom_forest_edge"," 2,00",RAIN
135,"betternether:nether_swampland"," 2,00",RAIN
136,"betternether:nether_swampland_terraces"," 2,00",RAIN
137,"minecraft:nether_wastes"," 2,00",RAIN
138,"minecraft:ocean"," 0,50",RAIN
139,"betternether:old_fungiwoods"," 2,00",RAIN
140,"minecraft:old_growth_birch_forest"," 0,60",RAIN
141,"minecraft:old_growth_pine_taiga"," 0,30",RAIN
142,"minecraft:old_growth_spruce_taiga"," 0,25",RAIN
143,"still_life:old_growth_temperate_forest"," 0,70",RAIN
144,"still_life:old_growth_tropical_rainforest"," 0,95",RAIN
145,"betternether:old_swampland"," 2,00",RAIN
146,"betternether:old_warped_woods"," 2,00",RAIN
147,"betterend:painted_mountains"," 0,50",RAIN
148,"still_life:pine_woods"," 0,60",RAIN
149,"galosphere:pink_salt_caves"," 0,50",RAIN
150,"minecraft:plains"," 0,80",RAIN
151,"betternether:poor_nether_grasslands"," 2,00",RAIN
152,"incendium:quartz_flats"," 2,00",RAIN
153,"minecraft:river"," 0,50",RAIN
154,"minecraft:savanna"," 2,00",RAIN
155,"still_life:savanna_beach"," 0,80",RAIN
156,"still_life:savanna_highlands"," 2,00",RAIN
157,"minecraft:savanna_plateau"," 2,00",RAIN
158,"still_life:savanna_river"," 2,00",RAIN
159,"still_life:scorched_caves"," 0,70",RAIN
160,"still_life:semiarid_desert"," 2,00",RAIN
161,"betterend:shadow_forest"," 0,50",RAIN
162,"nullscape:shadowlands"," 2,00",RAIN
163,"still_life:shrub_steppe"," 1,60",RAIN
164,"minecraft:small_end_islands"," 0,50",RAIN
165,"still_life:snowy_barren_peaks"," 1,50",RAIN
166,"minecraft:snowy_beach"," 0,05",RAIN
167,"still_life:snowy_boreal_alpine_tundra"," 0,50",RAIN
168,"still_life:snowy_peaks","-0,20",RAIN
169,"minecraft:snowy_plains"," 0,00",RAIN
170,"minecraft:snowy_slopes","-0,30",RAIN
171,"minecraft:snowy_taiga","-0,50",RAIN
172,"still_life:snowy_tundra"," 0,40",RAIN
173,"betternether:soul_plain"," 2,00",RAIN
174,"minecraft:soul_sand_valley"," 2,00",RAIN
175,"minecraft:sparse_jungle"," 0,95",RAIN
176,"ae2:spatial_storage"," 0,50",RAIN
177,"still_life:steppe_river"," 2,00",RAIN
178,"minecraft:stony_peaks"," 1,00",RAIN
179,"minecraft:stony_shore"," 0,20",RAIN
180,"still_life:subtropical_deep_ocean"," 0,50",RAIN
181,"still_life:subtropical_shallow_ocean"," 0,50",RAIN
182,"betternether:sulfuric_bone_reef"," 2,00",RAIN
183,"betterend:sulphur_springs"," 0,50",RAIN
184,"minecraft:sunflower_plains"," 0,80",RAIN
185,"minecraft:swamp"," 0,80",RAIN
186,"minecraft:taiga"," 0,25",RAIN
187,"still_life:taiga_beach"," 0,60",RAIN
188,"still_life:taiga_highlands"," 0,50",RAIN
189,"still_life:temperate_beach"," 0,80",RAIN
190,"still_life:temperate_deep_ocean"," 0,50",RAIN
191,"still_life:temperate_forest"," 0,70",RAIN
192,"still_life:temperate_marsh"," 0,70",RAIN
193,"still_life:temperate_mixed_forest"," 0,60",RAIN
194,"still_life:temperate_river"," 0,70",RAIN
195,"still_life:temperate_shallow_ocean"," 0,50",RAIN
196,"still_life:temperate_swamp"," 0,80",RAIN
197,"minecraft:the_end"," 0,50",RAIN
198,"minecraft:the_void"," 0,50",RAIN
199,"incendium:toxic_heap"," 2,00",RAIN
200,"still_life:tropical_beach"," 0,80",RAIN
201,"still_life:tropical_deep_ocean"," 0,50",RAIN
202,"still_life:tropical_dry_forest"," 0,95",RAIN
203,"still_life:tropical_highlands"," 0,95",RAIN
204,"still_life:tropical_rainforest"," 0,95",RAIN
205,"still_life:tropical_rainforest_river"," 0,95",RAIN
206,"still_life:tropical_shallow_ocean"," 0,50",RAIN
207,"still_life:tropical_wetlands"," 0,95",RAIN
208,"still_life:tundra_beach"," 0,80",RAIN
209,"still_life:tundra_river"," 0,40",RAIN
210,"betterend:umbra_valley"," 0,50",RAIN
211,"betterend:umbrella_jungle"," 0,50",RAIN
212,"betternether:upside_down_forest"," 2,00",RAIN
213,"betternether:upside_down_forest_cleared"," 2,00",RAIN
214,"nullscape:void_barrens"," 0,50",RAIN
215,"incendium:volcanic_deltas"," 2,00",RAIN
216,"minecraft:warm_ocean"," 0,50",RAIN
217,"still_life:warm_temperate_clearings"," 1,40",RAIN
218,"still_life:warm_temperate_river"," 1,30",RAIN
219,"still_life:warm_temperate_woodlands"," 1,30",RAIN
220,"minecraft:warped_forest"," 2,00",RAIN
221,"betternether:wart_forest"," 2,00",RAIN
222,"betternether:wart_forest_edge"," 2,00",RAIN
223,"incendium:weeping_valley"," 2,00",RAIN
224,"minecraft:windswept_forest"," 0,20",RAIN
225,"minecraft:windswept_gravelly_hills"," 0,20",RAIN
226,"minecraft:windswept_hills"," 0,20",RAIN
227,"minecraft:windswept_savanna"," 2,00",RAIN
228,"incendium:withered_forest"," 2,00",RAIN
229,"minecraft:wooded_badlands"," 2,00",RAIN
230,"still_life:wooded_highlands"," 0,60",RAIN
231,"still_life:wooded_mediterranean_steppe"," 2,00",RAIN
232,"still_life:wooded_savanna"," 2,00",RAIN
233,"still_life:wooded_semiarid_desert"," 2,00",RAIN
234,"still_life:wooded_tundra"," 0,40",RAIN
235,"still_life:xeric_shrubland"," 2,00",RAIN
