"Mod name","Registry name","Entity class name","ID"
"Minecraft","minecraft:iron_golem","net.minecraft.class_1439",53
"Minecraft","minecraft:item","net.minecraft.class_1542",54
"Minecraft","minecraft:item_display","net.minecraft.class_8113$class_8122",55
"Minecraft","minecraft:item_frame","net.minecraft.class_1533",56
"Minecraft","minecraft:leash_knot","net.minecraft.class_1532",58
"Minecraft","minecraft:lightning_bolt","net.minecraft.class_1538",59
"Minecraft","minecraft:llama","net.minecraft.class_1501",60
"Minecraft","minecraft:llama_spit","net.minecraft.class_1673",61
"Minecraft","minecraft:magma_cube","net.minecraft.class_1589",62
"Minecraft","minecraft:marker","net.minecraft.class_6335",63
"Minecraft","minecraft:minecart","net.minecraft.class_1695",64
"Minecraft","minecraft:mooshroom","net.minecraft.class_1438",65
"Minecraft","minecraft:mule","net.minecraft.class_1500",66
"Minecraft","minecraft:ocelot","net.minecraft.class_3701",67
"Minecraft","minecraft:painting","net.minecraft.class_1534",68
"Minecraft","minecraft:panda","net.minecraft.class_1440",69
"Minecraft","minecraft:parrot","net.minecraft.class_1453",70
"Minecraft","minecraft:phantom","net.minecraft.class_1593",71
"Minecraft","minecraft:pig","net.minecraft.class_1452",72
"Minecraft","minecraft:piglin","net.minecraft.class_4836",73
"Minecraft","minecraft:piglin_brute","net.minecraft.class_5419",74
"Minecraft","minecraft:pillager","net.minecraft.class_1604",75
"Minecraft","minecraft:player","?",122
"Minecraft","minecraft:polar_bear","net.minecraft.class_1456",76
"Minecraft","minecraft:potion","net.minecraft.class_1686",77
"Minecraft","minecraft:pufferfish","net.minecraft.class_1454",78
"Minecraft","minecraft:rabbit","net.minecraft.class_1463",79
"Minecraft","minecraft:ravager","net.minecraft.class_1584",80
"Minecraft","minecraft:salmon","net.minecraft.class_1462",81
"Minecraft","minecraft:sheep","net.minecraft.class_1472",82
"Minecraft","minecraft:shulker","net.minecraft.class_1606",83
"Minecraft","minecraft:shulker_bullet","net.minecraft.class_1678",84
"Minecraft","minecraft:silverfish","net.minecraft.class_1614",85
"Minecraft","minecraft:skeleton","net.minecraft.class_1613",86
"Minecraft","minecraft:skeleton_horse","net.minecraft.class_1506",87
"Minecraft","minecraft:slime","net.minecraft.class_1621",88
"Minecraft","minecraft:small_fireball","net.minecraft.class_1677",89
"Minecraft","minecraft:sniffer","net.minecraft.class_8153",90
"Minecraft","minecraft:snow_golem","net.minecraft.class_1473",91
"Minecraft","minecraft:snowball","net.minecraft.class_1680",92
"Minecraft","minecraft:spawner_minecart","net.minecraft.class_1699",93
"Minecraft","minecraft:spectral_arrow","net.minecraft.class_1679",94
"Minecraft","minecraft:spider","net.minecraft.class_1628",95
"Minecraft","minecraft:squid","net.minecraft.class_1477",96
"Minecraft","minecraft:stray","net.minecraft.class_1627",97
"Minecraft","minecraft:strider","net.minecraft.class_4985",98
"Minecraft","minecraft:tadpole","net.minecraft.class_7110",99
"Minecraft","minecraft:text_display","net.minecraft.class_8113$class_8123",100
"Minecraft","minecraft:tnt","net.minecraft.class_1541",101
"Minecraft","minecraft:tnt_minecart","net.minecraft.class_1701",102
"Minecraft","minecraft:trader_llama","net.minecraft.class_3986",103
"Minecraft","minecraft:trident","net.minecraft.class_1685",104
"Minecraft","minecraft:tropical_fish","net.minecraft.class_1474",105
"Minecraft","minecraft:turtle","net.minecraft.class_1481",106
"Minecraft","minecraft:vex","net.minecraft.class_1634",107
"Minecraft","minecraft:villager","net.minecraft.class_1646",108
"Minecraft","minecraft:vindicator","net.minecraft.class_1632",109
"Minecraft","minecraft:wandering_trader","net.minecraft.class_3989",110
"Minecraft","minecraft:warden","net.minecraft.class_7260",111
"Minecraft","minecraft:witch","net.minecraft.class_1640",112
"Minecraft","minecraft:wither","net.minecraft.class_1528",113
"Minecraft","minecraft:wither_skeleton","net.minecraft.class_1639",114
"Minecraft","minecraft:wither_skull","net.minecraft.class_1687",115
"Minecraft","minecraft:wolf","net.minecraft.class_1493",116
"Minecraft","minecraft:zoglin","net.minecraft.class_5136",117
"Minecraft","minecraft:zombie","net.minecraft.class_1642",118
"Minecraft","minecraft:zombie_horse","net.minecraft.class_1507",119
"Minecraft","minecraft:zombie_villager","net.minecraft.class_1641",120
"Minecraft","minecraft:zombified_piglin","net.minecraft.class_1590",121
"Unknown","ae2:tiny_tnt_primed","appeng.entity.TinyTNTPrimedEntity",496
"Unknown","amendments:falling_lantern","net.mehvahdjukaar.amendments.common.entity.FallingLanternEntity",500
"Unknown","amendments:medium_dragon_fireball","net.mehvahdjukaar.amendments.common.entity.MediumDragonFireball",497
"Unknown","amendments:medium_fireball","net.mehvahdjukaar.amendments.common.entity.MediumFireball",498
"Unknown","amendments:ring_effect_cloud","net.mehvahdjukaar.amendments.common.entity.RingEffectCloud",499
"Unknown","artifacts:mimic","artifacts.entity.MimicEntity",130
"Unknown","bclib:chair","org.betterx.bclib.furniture.entity.EntityChair",131
"Unknown","betterend:cubozoa","org.betterx.betterend.entity.CubozoaEntity",136
"Unknown","betterend:dragonfly","org.betterx.betterend.entity.DragonflyEntity",132
"Unknown","betterend:end_fish","org.betterx.betterend.entity.EndFishEntity",134
"Unknown","betterend:end_slime","org.betterx.betterend.entity.EndSlimeEntity",133
"Unknown","betterend:shadow_walker","org.betterx.betterend.entity.ShadowWalkerEntity",135
"Unknown","betterend:silk_moth","org.betterx.betterend.entity.SilkMothEntity",137
"Unknown","betternether:firefly","org.betterx.betternether.entity.EntityFirefly",124
"Unknown","betternether:flying_pig","org.betterx.betternether.entity.EntityFlyingPig",127
"Unknown","betternether:hydrogen_jellyfish","org.betterx.betternether.entity.EntityHydrogenJellyfish",125
"Unknown","betternether:jungle_skeleton","org.betterx.betternether.entity.EntityJungleSkeleton",128
"Unknown","betternether:naga","org.betterx.betternether.entity.EntityNaga",126
"Unknown","betternether:naga_projectile","org.betterx.betternether.entity.EntityNagaProjectile",138
"Unknown","betternether:skull","org.betterx.betternether.entity.EntitySkull",129
"Unknown","bloomingnature:mod_boat","net.satisfy.bloomingnature.core.entity.ModBoatEntity",139
"Unknown","bloomingnature:mod_chest_boat","net.satisfy.bloomingnature.core.entity.ModChestBoatEntity",140
"Unknown","bloomingnature:termite","net.satisfy.bloomingnature.core.entity.TermiteEntity",142
"Unknown","bloomingnature:wandering_gardener","net.satisfy.bloomingnature.core.entity.WanderingGardenerEntity",141
"Unknown","brewery:beer_elemental","net.satisfy.brewery.core.entity.BeerElementalEntity",147
"Unknown","brewery:beer_elemental_attack","net.satisfy.brewery.core.entity.BeerElementalAttackEntity",148
"Unknown","brewery:dark_brew","net.satisfy.brewery.core.entity.DarkBrewEntity",143
"Unknown","brewery:hanging_rope","net.satisfy.brewery.core.block.entity.rope.HangingRopeEntity",146
"Unknown","brewery:rope_collision","net.satisfy.brewery.core.block.entity.rope.RopeCollisionEntity",145
"Unknown","brewery:rope_knot","net.satisfy.brewery.core.block.entity.rope.RopeKnotEntity",144
"Unknown","camerapture:picture_frame","me.chrr.camerapture.entity.PictureFrameEntity",149
"Unknown","connectiblechains:chain_collision","com.github.legoatoom.connectiblechains.entity.ChainCollisionEntity",151
"Unknown","connectiblechains:chain_knot","com.github.legoatoom.connectiblechains.entity.ChainKnotEntity",150
"Unknown","creeperoverhaul:badlands_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",155
"Unknown","creeperoverhaul:bamboo_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper",153
"Unknown","creeperoverhaul:beach_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",164
"Unknown","creeperoverhaul:cave_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",161
"Unknown","creeperoverhaul:dark_oak_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",162
"Unknown","creeperoverhaul:desert_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",154
"Unknown","creeperoverhaul:dripstone_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",160
"Unknown","creeperoverhaul:hills_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper",156
"Unknown","creeperoverhaul:jungle_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",152
"Unknown","creeperoverhaul:mushroom_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.PassiveCreeper",158
"Unknown","creeperoverhaul:ocean_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.custom.PufferfishCreeper",166
"Unknown","creeperoverhaul:savannah_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper",157
"Unknown","creeperoverhaul:snowy_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper",165
"Unknown","creeperoverhaul:spruce_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",163
"Unknown","creeperoverhaul:swamp_creeper","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper",159
"Unknown","crittersandcompanions:dragonfly","com.github.eterdelta.crittersandcompanions.entity.DragonflyEntity",167
"Unknown","crittersandcompanions:dumbo_octopus","com.github.eterdelta.crittersandcompanions.entity.DumboOctopusEntity",168
"Unknown","crittersandcompanions:ferret","com.github.eterdelta.crittersandcompanions.entity.FerretEntity",169
"Unknown","crittersandcompanions:grappling_hook","com.github.eterdelta.crittersandcompanions.entity.GrapplingHookEntity",170
"Unknown","crittersandcompanions:jumping_spider","com.github.eterdelta.crittersandcompanions.entity.JumpingSpiderEntity",171
"Unknown","crittersandcompanions:koi_fish","com.github.eterdelta.crittersandcompanions.entity.KoiFishEntity",172
"Unknown","crittersandcompanions:leaf_insect","com.github.eterdelta.crittersandcompanions.entity.LeafInsectEntity",173
"Unknown","crittersandcompanions:otter","com.github.eterdelta.crittersandcompanions.entity.OtterEntity",174
"Unknown","crittersandcompanions:red_panda","com.github.eterdelta.crittersandcompanions.entity.RedPandaEntity",175
"Unknown","crittersandcompanions:sea_bunny","com.github.eterdelta.crittersandcompanions.entity.SeaBunnyEntity",176
"Unknown","crittersandcompanions:shima_enaga","com.github.eterdelta.crittersandcompanions.entity.ShimaEnagaEntity",177
"Unknown","decorative_blocks:dummy_entity","lilypuree.decorative_blocks.platform.FabricPlatformHelper$1",178
"Unknown","doapi:chair","de.cristelknight.doapi.common.entity.ChairEntity",179
"Unknown","ecologics:boat","samebutdifferent.ecologics.entity.ModBoat",181
"Unknown","ecologics:chest_boat","samebutdifferent.ecologics.entity.ModChestBoat",182
"Unknown","ecologics:coconut_crab","samebutdifferent.ecologics.entity.CoconutCrab",180
"Unknown","ecologics:penguin","samebutdifferent.ecologics.entity.Penguin",183
"Unknown","ecologics:squirrel","samebutdifferent.ecologics.entity.Squirrel",184
"Unknown","elemental_wizards_rpg:dripstone_big","net.elemental_wizards_rpg.entity.DripstoneBigEntity",185
"Unknown","elemental_wizards_rpg:dripstone_small","net.elemental_wizards_rpg.entity.DripstoneSmallEntity",186
"Unknown","elemental_wizards_rpg:tornado","net.elemental_wizards_rpg.entity.TornadoEntity",187
"Unknown","endermanoverhaul:ancient_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownAncientPearl",214
"Unknown","endermanoverhaul:axolotl_pet_enderman","tech.alexnijjar.endermanoverhaul.common.entities.pets.AxolotlPetEnderman",208
"Unknown","endermanoverhaul:badlands_enderman","tech.alexnijjar.endermanoverhaul.common.entities.BadlandsEnderman",188
"Unknown","endermanoverhaul:bubble_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownBubblePearl",215
"Unknown","endermanoverhaul:cave_enderman","tech.alexnijjar.endermanoverhaul.common.entities.CaveEnderman",189
"Unknown","endermanoverhaul:coral_enderman","tech.alexnijjar.endermanoverhaul.common.entities.CoralEnderman",199
"Unknown","endermanoverhaul:corrupted_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownCorruptedPearl",212
"Unknown","endermanoverhaul:crimson_forest_enderman","tech.alexnijjar.endermanoverhaul.common.entities.CrimsonForestEnderman",190
"Unknown","endermanoverhaul:crimson_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownCrimsonPearl",218
"Unknown","endermanoverhaul:dark_oak_enderman","tech.alexnijjar.endermanoverhaul.common.entities.DarkOakEnderman",191
"Unknown","endermanoverhaul:desert_enderman","tech.alexnijjar.endermanoverhaul.common.entities.DesertEnderman",192
"Unknown","endermanoverhaul:end_enderman","tech.alexnijjar.endermanoverhaul.common.entities.EndEnderman",193
"Unknown","endermanoverhaul:end_islands_enderman","tech.alexnijjar.endermanoverhaul.common.entities.EndIslandsEnderman",194
"Unknown","endermanoverhaul:ender_bullet","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.EnderBullet",211
"Unknown","endermanoverhaul:flower_fields_enderman","tech.alexnijjar.endermanoverhaul.common.entities.FlowerFieldsEnderman",195
"Unknown","endermanoverhaul:hammerhead_pet_enderman","tech.alexnijjar.endermanoverhaul.common.entities.pets.HammerheadPetEnderman",207
"Unknown","endermanoverhaul:ice_spikes_enderman","tech.alexnijjar.endermanoverhaul.common.entities.IceSpikesEnderman",196
"Unknown","endermanoverhaul:icy_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownIcyPearl",217
"Unknown","endermanoverhaul:mushroom_fields_enderman","tech.alexnijjar.endermanoverhaul.common.entities.MushroomFieldsEnderman",197
"Unknown","endermanoverhaul:nether_wastes_enderman","tech.alexnijjar.endermanoverhaul.common.entities.NetherWastesEnderman",198
"Unknown","endermanoverhaul:pet_enderman","tech.alexnijjar.endermanoverhaul.common.entities.pets.PetEnderman",206
"Unknown","endermanoverhaul:savanna_enderman","tech.alexnijjar.endermanoverhaul.common.entities.SavannaEnderman",200
"Unknown","endermanoverhaul:scarab","tech.alexnijjar.endermanoverhaul.common.entities.summons.Scarab",209
"Unknown","endermanoverhaul:snowy_enderman","tech.alexnijjar.endermanoverhaul.common.entities.SnowyEnderman",201
"Unknown","endermanoverhaul:soul_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownSoulPearl",213
"Unknown","endermanoverhaul:soulsand_valley_enderman","tech.alexnijjar.endermanoverhaul.common.entities.SoulsandValleyEnderman",202
"Unknown","endermanoverhaul:spirit","tech.alexnijjar.endermanoverhaul.common.entities.summons.Spirit",210
"Unknown","endermanoverhaul:summoner_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownSummonerPearl",216
"Unknown","endermanoverhaul:swamp_enderman","tech.alexnijjar.endermanoverhaul.common.entities.SwampEnderman",203
"Unknown","endermanoverhaul:warped_forest_enderman","tech.alexnijjar.endermanoverhaul.common.entities.WarpedForestEnderman",204
"Unknown","endermanoverhaul:warped_pearl","tech.alexnijjar.endermanoverhaul.common.entities.projectiles.ThrownWarpedPearl",219
"Unknown","endermanoverhaul:windswept_hills_enderman","tech.alexnijjar.endermanoverhaul.common.entities.WindsweptHillsEnderman",205
"Unknown","farm_and_charm:cart","net.satisfy.farm_and_charm.core.entity.SupplyCartEntity",221
"Unknown","farm_and_charm:chair","net.satisfy.farm_and_charm.core.entity.ChairEntity",223
"Unknown","farm_and_charm:plow","net.satisfy.farm_and_charm.core.entity.PlowCartEntity",222
"Unknown","farm_and_charm:rotten_tomato","net.satisfy.farm_and_charm.core.entity.RottenTomatoEntity",220
"Unknown","farmersdelight:rotten_tomato","vectorwing.farmersdelight.common.entity.RottenTomatoEntity",224
"Unknown","fetzisasiandeco:fixed_seat","io.github.leonard1504.entity.custom.SeatEntityFixedRotation",226
"Unknown","fetzisasiandeco:koi","io.github.leonard1504.entity.custom.KoiEntity",227
"Unknown","fetzisasiandeco:seat","io.github.leonard1504.entity.custom.SeatEntity",225
"Unknown","friendsandfoes:copper_golem","com.faboslav.friendsandfoes.common.entity.CopperGolemEntity",228
"Unknown","friendsandfoes:crab","com.faboslav.friendsandfoes.common.entity.CrabEntity",229
"Unknown","friendsandfoes:glare","com.faboslav.friendsandfoes.common.entity.GlareEntity",230
"Unknown","friendsandfoes:ice_chunk","com.faboslav.friendsandfoes.common.entity.IceologerIceChunkEntity",232
"Unknown","friendsandfoes:iceologer","com.faboslav.friendsandfoes.common.entity.IceologerEntity",231
"Unknown","friendsandfoes:mauler","com.faboslav.friendsandfoes.common.entity.MaulerEntity",233
"Unknown","friendsandfoes:moobloom","com.faboslav.friendsandfoes.common.entity.MoobloomEntity",234
"Unknown","friendsandfoes:player_illusion","com.faboslav.friendsandfoes.common.entity.PlayerIllusionEntity",238
"Unknown","friendsandfoes:rascal","com.faboslav.friendsandfoes.common.entity.RascalEntity",235
"Unknown","friendsandfoes:tuff_golem","com.faboslav.friendsandfoes.common.entity.TuffGolemEntity",236
"Unknown","friendsandfoes:wildfire","com.faboslav.friendsandfoes.common.entity.WildfireEntity",237
"Unknown","furniture:canvas","com.berksire.furniture.client.entity.CanvasEntity",240
"Unknown","furniture:chair","com.berksire.furniture.client.entity.ChairEntity",239
"Unknown","furniture:fake_fish_tank","com.berksire.furniture.client.entity.FakeFishTankEntity",241
"Unknown","furniture:pells","com.berksire.furniture.client.entity.PellsEntity",242
"Unknown","galosphere:berserker","net.orcinus.galosphere.entities.Berserker",250
"Unknown","galosphere:glow_flare","net.orcinus.galosphere.entities.GlowFlare",244
"Unknown","galosphere:mole","net.orcinus.galosphere.entities.Mole",254
"Unknown","galosphere:palladium_bomb","net.orcinus.galosphere.entities.PalladiumBomb",243
"Unknown","galosphere:pink_salt_pillar","net.orcinus.galosphere.entities.PinkSaltPillar",252
"Unknown","galosphere:pink_salt_shard","net.orcinus.galosphere.entities.PinkSaltShard",253
"Unknown","galosphere:preserved","net.orcinus.galosphere.entities.Preserved",251
"Unknown","galosphere:rope_dart","net.orcinus.galosphere.entities.RopeDartProjectile",255
"Unknown","galosphere:sparkle","net.orcinus.galosphere.entities.Sparkle",246
"Unknown","galosphere:spectator_vision","net.orcinus.galosphere.entities.SpectatorVision",249
"Unknown","galosphere:specterpillar","net.orcinus.galosphere.entities.Specterpillar",248
"Unknown","galosphere:spectre","net.orcinus.galosphere.entities.Spectre",247
"Unknown","galosphere:spectre_flare","net.orcinus.galosphere.entities.SpectreFlare",245
"Unknown","galosphere:weapon_rack","net.orcinus.galosphere.entities.WeaponRack",256
"Unknown","grapplemod:grapplehook","com.yyon.grapplinghook.content.entity.grapplinghook.GrapplinghookEntity",257
"Unknown","guardribbits:guard_ribbit","sunbatheproductions28.guardribbits.entity.GuardRibbitEntity",258
"Unknown","guardvillagers:guard","dev.sterner.guardvillagers.common.entity.GuardEntity",259
"Unknown","handcrafted:fancy_painting","earth.terrarium.handcrafted.common.entities.FancyPainting",261
"Unknown","handcrafted:seat","earth.terrarium.handcrafted.common.entities.Seat",260
"Unknown","hybrid-aquatic:african_butterflyfish","dev.hybridlabs.aquatic.entity.fish.AfricanButterflyfishEntity",262
"Unknown","hybrid-aquatic:anglerfish","dev.hybridlabs.aquatic.entity.fish.AnglerfishEntity",265
"Unknown","hybrid-aquatic:arrow_squid","dev.hybridlabs.aquatic.entity.cephalopod.ArrowSquidEntity",317
"Unknown","hybrid-aquatic:barracuda","dev.hybridlabs.aquatic.entity.fish.BarracudaEntity",268
"Unknown","hybrid-aquatic:barrel_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.BarrelJellyfishEntity",351
"Unknown","hybrid-aquatic:barreleye","dev.hybridlabs.aquatic.entity.fish.BarreleyeEntity",267
"Unknown","hybrid-aquatic:basking_shark","dev.hybridlabs.aquatic.entity.shark.BaskingSharkEntity",360
"Unknown","hybrid-aquatic:betta","dev.hybridlabs.aquatic.entity.fish.BettaEntity",269
"Unknown","hybrid-aquatic:big_red_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.BigRedJellyfishEntity",348
"Unknown","hybrid-aquatic:blowfish","dev.hybridlabs.aquatic.entity.fish.BlowfishEntity",310
"Unknown","hybrid-aquatic:blue_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.BlueJellyfishEntity",353
"Unknown","hybrid-aquatic:box_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.BoxJellyfishEntity",352
"Unknown","hybrid-aquatic:boxfish","dev.hybridlabs.aquatic.entity.fish.BoxfishEntity",277
"Unknown","hybrid-aquatic:bull_shark","dev.hybridlabs.aquatic.entity.shark.BullSharkEntity",361
"Unknown","hybrid-aquatic:carp","dev.hybridlabs.aquatic.entity.fish.CarpEntity",283
"Unknown","hybrid-aquatic:cepheidae_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.CepheidaeJellyfishEntity",354
"Unknown","hybrid-aquatic:clownfish","dev.hybridlabs.aquatic.entity.fish.ClownfishEntity",276
"Unknown","hybrid-aquatic:coconut_crab","dev.hybridlabs.aquatic.entity.crustacean.CoconutCrabEntity",324
"Unknown","hybrid-aquatic:coelacanth","dev.hybridlabs.aquatic.entity.fish.CoelacanthEntity",315
"Unknown","hybrid-aquatic:cosmic_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.CosmicJellyfishEntity",349
"Unknown","hybrid-aquatic:crayfish","dev.hybridlabs.aquatic.entity.crustacean.CrayfishEntity",326
"Unknown","hybrid-aquatic:crown_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.CrownJellyfishEntity",347
"Unknown","hybrid-aquatic:cuttlefish","dev.hybridlabs.aquatic.entity.cephalopod.CuttlefishEntity",319
"Unknown","hybrid-aquatic:damselfish","dev.hybridlabs.aquatic.entity.fish.DamselfishEntity",263
"Unknown","hybrid-aquatic:danio","dev.hybridlabs.aquatic.entity.fish.DanioEntity",316
"Unknown","hybrid-aquatic:decorator_crab","dev.hybridlabs.aquatic.entity.crustacean.DecoratorCrabEntity",333
"Unknown","hybrid-aquatic:discus","dev.hybridlabs.aquatic.entity.fish.DiscusEntity",278
"Unknown","hybrid-aquatic:dragonfish","dev.hybridlabs.aquatic.entity.fish.DragonfishEntity",279
"Unknown","hybrid-aquatic:dungeness_crab","dev.hybridlabs.aquatic.entity.crustacean.DungenessCrabEntity",325
"Unknown","hybrid-aquatic:fiddler_crab","dev.hybridlabs.aquatic.entity.crustacean.FiddlerCrabEntity",327
"Unknown","hybrid-aquatic:firefly_squid","dev.hybridlabs.aquatic.entity.cephalopod.FireflySquidEntity",318
"Unknown","hybrid-aquatic:firework_jellyfish","dev.hybridlabs.aquatic.entity.jellyfish.FireworkJellyfishEntity",350
"Unknown","hybrid-aquatic:flashlight_fish","dev.hybridlabs.aquatic.entity.fish.FlashlightFishEntity",280
"Unknown","hybrid-aquatic:flower_crab","dev.hybridlabs.aquatic.entity.crustacean.FlowerCrabEntity",328
"Unknown","hybrid-aquatic:flying_fish","dev.hybridlabs.aquatic.entity.fish.FlyingFishEntity",264
"Unknown","hybrid-aquatic:frilled_shark","dev.hybridlabs.aquatic.entity.shark.FrilledSharkEntity",362
"Unknown","hybrid-aquatic:ghost_crab","dev.hybridlabs.aquatic.entity.crustacean.GhostCrabEntity",329
"Unknown","hybrid-aquatic:giant_isopod","dev.hybridlabs.aquatic.entity.crustacean.GiantIsopodEntity",339
"Unknown","hybrid-aquatic:golden_dorado","dev.hybridlabs.aquatic.entity.fish.GoldenDoradoEntity",313
"Unknown","hybrid-aquatic:goldfish","dev.hybridlabs.aquatic.entity.fish.GoldfishEntity",282
"Unknown","hybrid-aquatic:gourami","dev.hybridlabs.aquatic.entity.fish.GouramiEntity",287
"Unknown","hybrid-aquatic:great_white_shark","dev.hybridlabs.aquatic.entity.shark.GreatWhiteSharkEntity",365
"Unknown","hybrid-aquatic:hammerhead_shark","dev.hybridlabs.aquatic.entity.shark.HammerheadSharkEntity",366
"Unknown","hybrid-aquatic:hermit_crab","dev.hybridlabs.aquatic.entity.crustacean.HermitCrabEntity",330
"Unknown","hybrid-aquatic:herring","dev.hybridlabs.aquatic.entity.fish.HerringEntity",294
"Unknown","hybrid-aquatic:horseshoe_crab","dev.hybridlabs.aquatic.entity.crustacean.HorseshoeCrabEntity",331
"Unknown","hybrid-aquatic:hound_shark","dev.hybridlabs.aquatic.entity.shark.HoundSharkEntity",363
"Unknown","hybrid-aquatic:john_dory","dev.hybridlabs.aquatic.entity.fish.JohnDoryEntity",301
