"Registry name","Name","Max lvl","Target","Rarity","ID"
"minecraft:impaling","enchantment.minecraft.impaling","5","TRIDENT","RARE (2)",31
"minecraft:infinity","enchantment.minecraft.infinity","1","BOW","VERY_RARE (1)",27
"minecraft:knockback","enchantment.minecraft.knockback","2","WEAPON","UNCOMMON (5)",16
"minecraft:looting","enchantment.minecraft.looting","3","WEAPON","RARE (2)",18
"minecraft:loyalty","enchantment.minecraft.loyalty","3","TRIDENT","UNCOMMON (5)",30
"minecraft:luck_of_the_sea","enchantment.minecraft.luck_of_the_sea","3","FISHING_ROD","RARE (2)",28
"minecraft:lure","enchantment.minecraft.lure","3","FISHING_ROD","RARE (2)",29
"minecraft:mending","enchantment.minecraft.mending","1","BREAKABLE","RARE (2)",37
"minecraft:multishot","enchantment.minecraft.multishot","1","CROSSBOW","RARE (2)",34
"minecraft:piercing","enchantment.minecraft.piercing","4","CROSSBOW","COMMON (10)",36
"minecraft:power","enchantment.minecraft.power","5","BOW","COMMON (10)",24
"minecraft:projectile_protection","enchantment.minecraft.projectile_protection","4","ARMOR","UNCOMMON (5)",4
"minecraft:protection","enchantment.minecraft.protection","4","ARMOR","COMMON (10)",0
"minecraft:punch","enchantment.minecraft.punch","2","BOW","RARE (2)",25
"minecraft:quick_charge","enchantment.minecraft.quick_charge","3","CROSSBOW","UNCOMMON (5)",35
"minecraft:respiration","enchantment.minecraft.respiration","3","ARMOR_HEAD","RARE (2)",5
"minecraft:riptide","enchantment.minecraft.riptide","3","TRIDENT","RARE (2)",32
"minecraft:sharpness","enchantment.minecraft.sharpness","5","WEAPON","COMMON (10)",13
"minecraft:silk_touch","enchantment.minecraft.silk_touch","1","DIGGER","VERY_RARE (1)",21
"minecraft:smite","enchantment.minecraft.smite","5","WEAPON","UNCOMMON (5)",14
"minecraft:soul_speed","enchantment.minecraft.soul_speed","3","ARMOR_FEET","VERY_RARE (1)",11
"minecraft:sweeping","enchantment.minecraft.sweeping","3","WEAPON","RARE (2)",19
"minecraft:swift_sneak","enchantment.minecraft.swift_sneak","3","ARMOR_LEGS","VERY_RARE (1)",12
"minecraft:thorns","enchantment.minecraft.thorns","3","ARMOR_CHEST","VERY_RARE (1)",7
"minecraft:unbreaking","enchantment.minecraft.unbreaking","3","BREAKABLE","UNCOMMON (5)",22
"minecraft:vanishing_curse","enchantment.minecraft.vanishing_curse","1","VANISHABLE","VERY_RARE (1)",38
"more_rpg_classes:elemental","enchantment.more_rpg_classes.elemental","5","BREAKABLE","COMMON (10)",54
"passablefoliage:leaf_walker","enchantment.passablefoliage.leaf_walker","1","ARMOR_FEET","COMMON (10)",53
"shield_overhaul:vigor","enchantment.shield_overhaul.vigor","3","BREAKABLE","RARE (2)",55
"spell_engine:spell_infinity","enchantment.spell_engine.spell_infinity","1","BREAKABLE","VERY_RARE (1)",56
"spell_power:critical_chance","enchantment.spell_power.critical_chance","5","BREAKABLE","UNCOMMON (5)",58
"spell_power:critical_damage","enchantment.spell_power.critical_damage","5","BREAKABLE","UNCOMMON (5)",59
"spell_power:energize","enchantment.spell_power.energize","5","BREAKABLE","RARE (2)",62
"spell_power:haste","enchantment.spell_power.haste","5","BREAKABLE","RARE (2)",57
"spell_power:magic_protection","enchantment.spell_power.magic_protection","4","ARMOR","RARE (2)",60
"spell_power:soulfrost","enchantment.spell_power.soulfrost","5","BREAKABLE","RARE (2)",64
"spell_power:spell_power","enchantment.spell_power.spell_power","5","BREAKABLE","UNCOMMON (5)",63
"spell_power:sunfire","enchantment.spell_power.sunfire","5","BREAKABLE","RARE (2)",61
"supplementaries:stasis","enchantment.supplementaries.stasis","1","CROSSBOW","VERY_RARE (1)",65
"veinmining:vein_mining","enchantment.veinmining.vein_mining","1","DIGGER","RARE (2)",66
"walljump:double_jump","enchantment.walljump.double_jump","2","ARMOR_FEET","RARE (2)",68
"walljump:speed_boost","enchantment.walljump.speed_boost","3","ARMOR_FEET","RARE (2)",69
"walljump:wall_jump","enchantment.walljump.wall_jump","1","ARMOR_FEET","UNCOMMON (5)",67
