"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Minecraft","lilis_lucky_lures:grilled_tropical_fish",22179,"Grilled Tropical Fish","minecraft:grilled_tropical_fish_from_campfire_cooking",""
"Minecraft","lilis_lucky_lures:grilled_tropical_fish",22179,"Grilled Tropical Fish","minecraft:grilled_tropical_fish_from_smoking",""
"Minecraft","lilis_lucky_lures:puffer_plater",22181,"Puffer Platter","minecraft:puffer_plater",""
"Minecraft","lilis_lucky_lures:puffer_plater",22181,"Puffer Platter","minecraft:puffer_plater_from_campfire_cooking",""
"Minecraft","lilis_lucky_lures:puffer_plater",22181,"Puffer Platter","minecraft:puffer_plater_from_smoking",""
"Minecraft","minecraft:acacia_boat",744,"Acacia Boat","minecraft:acacia_boat","minecraft:boats"
"Minecraft","minecraft:acacia_button",666,"Acacia Button","minecraft:acacia_button","extshape:wooden_blocks, minecraft:buttons, minecraft:wooden_buttons"
"Minecraft","minecraft:acacia_chest_boat",745,"Acacia Boat with Chest","minecraft:acacia_chest_boat","minecraft:boats, minecraft:chest_boats"
"Minecraft","minecraft:acacia_door",693,"Acacia Door","minecraft:acacia_door","minecraft:doors, minecraft:wooden_doors, chipped:acacia_door"
"Minecraft","minecraft:acacia_fence",293,"Acacia Fence","minecraft:acacia_fence","c:fences, c:wooden_fences, minecraft:fences, extshape:wooden_blocks, minecraft:wooden_fences"
"Minecraft","minecraft:acacia_fence_gate",716,"Acacia Fence Gate","minecraft:acacia_fence_gate","c:wooden_fence_gates, c:fence_gates, minecraft:fence_gates"
"Minecraft","minecraft:acacia_hanging_sign",861,"Acacia Hanging Sign","minecraft:acacia_hanging_sign","minecraft:hanging_signs"
"Minecraft","minecraft:acacia_planks",27,"Acacia Planks","minecraft:acacia_planks","blockus:planks_that_burn, chipped:acacia_planks, c:planks_that_burn, minecraft:planks, handcrafted:counter_materials, handcrafted:trim_materials"
"Minecraft","minecraft:acacia_pressure_plate",681,"Acacia Pressure Plate","minecraft:acacia_pressure_plate","minecraft:wooden_pressure_plates, extshape:wooden_blocks"
"Minecraft","minecraft:acacia_sign",850,"Acacia Sign","minecraft:acacia_sign","minecraft:signs"
"Minecraft","minecraft:acacia_slab",234,"Acacia Slab","minecraft:acacia_slab","extshape:wooden_blocks, minecraft:slabs, minecraft:wooden_slabs"
"Minecraft","minecraft:acacia_stairs",365,"Acacia Stairs","minecraft:acacia_stairs","extshape:wooden_blocks, minecraft:stairs, minecraft:wooden_stairs"
"Minecraft","minecraft:acacia_trapdoor",705,"Acacia Trapdoor","minecraft:acacia_trapdoor","minecraft:trapdoors, chipped:acacia_trapdoor, minecraft:wooden_trapdoors"
"Minecraft","minecraft:acacia_wood",148,"Acacia Wood","minecraft:acacia_wood","meadow:is_woodcutter_usable, minecraft:logs, minecraft:acacia_logs, minecraft:logs_that_burn, minecraft:completes_find_tree_tutorial"
"Minecraft","minecraft:activator_rail",726,"Activator Rail","minecraft:activator_rail","minecraft:rails"
"Minecraft","minecraft:amethyst_block",72,"Block of Amethyst","minecraft:amethyst_block","c:storage_blocks, chipped:amethyst_block, runes:rune_crafting/reagent/arcane_medium, c:amethyst_blocks"
"Minecraft","minecraft:andesite",6,"Andesite","minecraft:andesite","c:stones, bookshelf:stones, handcrafted:trim_materials, balm:stones, c:stone, chipped:andesite, handcrafted:counter_materials"
"Minecraft","minecraft:andesite_slab",626,"Andesite Slab","minecraft:andesite_slab","minecraft:slabs"
"Minecraft","minecraft:andesite_slab",626,"Andesite Slab","minecraft:andesite_slab_from_andesite_stonecutting","minecraft:slabs"
"Minecraft","minecraft:andesite_stairs",609,"Andesite Stairs","minecraft:andesite_stairs","minecraft:stairs"
"Minecraft","minecraft:andesite_stairs",609,"Andesite Stairs","minecraft:andesite_stairs_from_andesite_stonecutting","minecraft:stairs"
"Minecraft","minecraft:andesite_wall",385,"Andesite Wall","minecraft:andesite_wall","minecraft:walls"
"Minecraft","minecraft:andesite_wall",385,"Andesite Wall","minecraft:andesite_wall_from_andesite_stonecutting","minecraft:walls"
"Minecraft","minecraft:anvil",397,"Anvil","minecraft:anvil","minecraft:anvil"
"Minecraft","minecraft:armor_stand",1077,"Armor Stand","minecraft:armor_stand",""
"Minecraft","minecraft:arrow",761,"Arrow","minecraft:arrow","minecraft:arrows"
"Minecraft","minecraft:baked_potato",1053,"Baked Potato","minecraft:baked_potato","wildernature:can_be_truffled, c:foods"
"Minecraft","minecraft:baked_potato",1053,"Baked Potato","minecraft:baked_potato_from_campfire_cooking","wildernature:can_be_truffled, c:foods"
"Minecraft","minecraft:baked_potato",1053,"Baked Potato","minecraft:baked_potato_from_smoking","wildernature:can_be_truffled, c:foods"
"Minecraft","minecraft:bamboo_block",122,"Block of Bamboo","minecraft:bamboo_block","minecraft:bamboo_blocks"
"Minecraft","minecraft:bamboo_button",670,"Bamboo Button","minecraft:bamboo_button","extshape:wooden_blocks, minecraft:buttons, minecraft:wooden_buttons"
"Minecraft","minecraft:bamboo_chest_raft",753,"Bamboo Raft with Chest","minecraft:bamboo_chest_raft","minecraft:boats, minecraft:chest_boats"
"Minecraft","minecraft:bamboo_door",697,"Bamboo Door","minecraft:bamboo_door","minecraft:doors, minecraft:wooden_doors, chipped:bamboo_door"
"Minecraft","minecraft:bamboo_fence",297,"Bamboo Fence","minecraft:bamboo_fence","c:fences, c:wooden_fences, minecraft:fences, extshape:wooden_blocks, minecraft:wooden_fences"
"Minecraft","minecraft:bamboo_fence_gate",720,"Bamboo Fence Gate","minecraft:bamboo_fence_gate","minecraft:fence_gates"
"Minecraft","minecraft:bamboo_hanging_sign",865,"Bamboo Hanging Sign","minecraft:bamboo_hanging_sign","minecraft:hanging_signs"
"Minecraft","minecraft:bamboo_mosaic",34,"Bamboo Mosaic","minecraft:bamboo_mosaic","blockus:wooden_mosaic_that_burn"
"Minecraft","minecraft:bamboo_mosaic_slab",239,"Bamboo Mosaic Slab","minecraft:bamboo_mosaic_slab","minecraft:slabs"
"Minecraft","minecraft:bamboo_mosaic_stairs",370,"Bamboo Mosaic Stairs","minecraft:bamboo_mosaic_stairs","minecraft:stairs"
"Minecraft","minecraft:bamboo_planks",31,"Bamboo Planks","minecraft:bamboo_planks","chipped:bamboo_planks, blockus:planks_that_burn, c:planks_that_burn, minecraft:planks, handcrafted:counter_materials, handcrafted:trim_materials"
"Minecraft","minecraft:bamboo_pressure_plate",685,"Bamboo Pressure Plate","minecraft:bamboo_pressure_plate","minecraft:wooden_pressure_plates, extshape:wooden_blocks"
"Minecraft","minecraft:bamboo_raft",752,"Bamboo Raft","minecraft:bamboo_raft","minecraft:boats"
"Minecraft","minecraft:bamboo_sign",854,"Bamboo Sign","minecraft:bamboo_sign","minecraft:signs"
"Minecraft","minecraft:bamboo_slab",238,"Bamboo Slab","minecraft:bamboo_slab","extshape:wooden_blocks, minecraft:slabs, minecraft:wooden_slabs"
"Minecraft","minecraft:bamboo_stairs",369,"Bamboo Stairs","minecraft:bamboo_stairs","extshape:wooden_blocks, minecraft:stairs, minecraft:wooden_stairs"
"Minecraft","minecraft:bamboo_trapdoor",709,"Bamboo Trapdoor","minecraft:bamboo_trapdoor","minecraft:trapdoors, chipped:bamboo_trapdoor, minecraft:wooden_trapdoors"
"Minecraft","minecraft:barrel",1154,"Barrel","minecraft:barrel","c:villager_job_sites, c:wooden_barrels, c:barrels, chipped:barrel"
"Minecraft","minecraft:beacon",374,"Beacon","minecraft:beacon","furniture:trash_bag_blacklist"
"Minecraft","minecraft:beehive",1172,"Oak Beehive","minecraft:beehive",""
"Minecraft","minecraft:beetroot_soup",1110,"Beetroot Soup","minecraft:beetroot_soup","wildernature:can_be_truffled, c:foods"
"Minecraft","minecraft:birch_boat",740,"Birch Boat","minecraft:birch_boat","minecraft:boats"
"Minecraft","minecraft:birch_button",664,"Birch Button","minecraft:birch_button","extshape:wooden_blocks, minecraft:buttons, minecraft:wooden_buttons"
"Minecraft","minecraft:birch_chest_boat",741,"Birch Boat with Chest","minecraft:birch_chest_boat","minecraft:boats, minecraft:chest_boats"
"Minecraft","minecraft:birch_door",691,"Birch Door","minecraft:birch_door","minecraft:doors, minecraft:wooden_doors, chipped:birch_door"
"Minecraft","minecraft:birch_fence",291,"Birch Fence","minecraft:birch_fence","c:fences, c:wooden_fences, minecraft:fences, extshape:wooden_blocks, minecraft:wooden_fences"
"Minecraft","minecraft:birch_fence_gate",714,"Birch Fence Gate","minecraft:birch_fence_gate","c:wooden_fence_gates, c:fence_gates, minecraft:fence_gates"
"Minecraft","minecraft:birch_hanging_sign",859,"Birch Hanging Sign","minecraft:birch_hanging_sign","minecraft:hanging_signs"
"Minecraft","minecraft:birch_planks",25,"Birch Planks","minecraft:birch_planks","blockus:planks_that_burn, c:planks_that_burn, minecraft:planks, chipped:birch_planks, handcrafted:counter_materials, handcrafted:trim_materials"
"Minecraft","minecraft:birch_pressure_plate",679,"Birch Pressure Plate","minecraft:birch_pressure_plate","minecraft:wooden_pressure_plates, extshape:wooden_blocks"
"Minecraft","minecraft:birch_sign",848,"Birch Sign","minecraft:birch_sign","minecraft:signs"
"Minecraft","minecraft:birch_slab",232,"Birch Slab","minecraft:birch_slab","extshape:wooden_blocks, minecraft:slabs, minecraft:wooden_slabs"
"Minecraft","minecraft:birch_stairs",363,"Birch Stairs","minecraft:birch_stairs","extshape:wooden_blocks, minecraft:stairs, minecraft:wooden_stairs"
"Minecraft","minecraft:birch_trapdoor",703,"Birch Trapdoor","minecraft:birch_trapdoor","chipped:birch_trapdoor, minecraft:trapdoors, minecraft:wooden_trapdoors"
"Minecraft","minecraft:birch_wood",146,"Birch Wood","minecraft:birch_wood","meadow:is_woodcutter_usable, minecraft:logs, minecraft:birch_logs, minecraft:logs_that_burn, minecraft:completes_find_tree_tutorial"
"Minecraft","minecraft:black_banner",1102,"Black Banner","minecraft:black_banner","minecraft:banners"
"Minecraft","minecraft:black_bed",939,"Black Bed","minecraft:black_bed","minecraft:beds, incendium:cheater_items"
"Minecraft","minecraft:black_bed",939,"Black Bed","minecraft:dye_black_bed","minecraft:beds, incendium:cheater_items"
"Minecraft","minecraft:black_candle",1206,"Black Candle","minecraft:black_candle","minecraft:candles"
"Minecraft","minecraft:black_carpet",439,"Black Carpet","minecraft:black_carpet","minecraft:wool_carpets, chipped:black_carpet, minecraft:dampens_vibrations"
"Minecraft","minecraft:black_carpet",439,"Black Carpet","minecraft:dye_black_carpet","minecraft:wool_carpets, chipped:black_carpet, minecraft:dampens_vibrations"
"Minecraft","minecraft:black_concrete_powder",564,"Black Concrete Powder","minecraft:black_concrete_powder","supplementaries:concrete_powders"
"Minecraft","minecraft:black_dye",919,"Black Dye","minecraft:black_dye","c:dye_any, c:dyes, supplementaries:blackboard_black, balm:dyes, c:black_dyes, c:dyes/black, grapplemod:dye, c:dye_black, balm:black_dyes"
"Minecraft","minecraft:black_dye",919,"Black Dye","minecraft:black_dye_from_wither_rose","c:dye_any, c:dyes, supplementaries:blackboard_black, balm:dyes, c:black_dyes, c:dyes/black, grapplemod:dye, c:dye_black, balm:black_dyes"
"Minecraft","minecraft:black_glazed_terracotta",532,"Black Glazed Terracotta","minecraft:black_glazed_terracotta","chipped:black_glazed_terracotta"
"Minecraft","minecraft:black_stained_glass",464,"Black Stained Glass","minecraft:black_stained_glass","c:glass_blocks, c:stained_glass, c:silica_glass, c:black_glass, chipped:black_stained_glass"
"Minecraft","minecraft:black_stained_glass_pane",480,"Black Stained Glass Pane","minecraft:black_stained_glass_pane","c:black_glass_panes, c:stained_glass_panes, chipped:black_stained_glass_pane, c:glass_panes"
"Minecraft","minecraft:black_stained_glass_pane",480,"Black Stained Glass Pane","minecraft:black_stained_glass_pane_from_glass_pane","c:black_glass_panes, c:stained_glass_panes, chipped:black_stained_glass_pane, c:glass_panes"
"Minecraft","minecraft:black_terracotta",420,"Black Terracotta","minecraft:black_terracotta","minecraft:terracotta, chipped:black_terracotta"
"Minecraft","minecraft:black_wool",195,"Black Wool","minecraft:dye_black_wool","minecraft:wool, minecraft:dampens_vibrations, chipped:black_wool, c:black_wool"
"Minecraft","minecraft:blackstone_slab",1178,"Blackstone Slab","minecraft:blackstone_slab","incendium:blackstone_blocks, minecraft:slabs"
"Minecraft","minecraft:blackstone_slab",1178,"Blackstone Slab","minecraft:blackstone_slab_from_blackstone_stonecutting","incendium:blackstone_blocks, minecraft:slabs"
"Minecraft","minecraft:blackstone_stairs",1179,"Blackstone Stairs","minecraft:blackstone_stairs","minecraft:stairs, incendium:blackstone_blocks"
"Minecraft","minecraft:blackstone_stairs",1179,"Blackstone Stairs","minecraft:blackstone_stairs_from_blackstone_stonecutting","minecraft:stairs, incendium:blackstone_blocks"
"Minecraft","minecraft:blackstone_wall",390,"Blackstone Wall","minecraft:blackstone_wall","incendium:blackstone_blocks, minecraft:walls"
"Minecraft","minecraft:blackstone_wall",390,"Blackstone Wall","minecraft:blackstone_wall_from_blackstone_stonecutting","incendium:blackstone_blocks, minecraft:walls"
"Minecraft","minecraft:blast_furnace",1156,"Blast Furnace","minecraft:blast_furnace","c:villager_job_sites"
"Minecraft","minecraft:blaze_powder",961,"Blaze Powder","minecraft:blaze_powder","furniture:trash_bag_blacklist, decorative_blocks:bonfire_activators, herbalbrews:heat_items, incendium:brewing_ingredients, runes:rune_crafting/reagent/fire_medium"
"Minecraft","minecraft:blue_banner",1098,"Blue Banner","minecraft:blue_banner","minecraft:banners"
"Minecraft","minecraft:blue_bed",935,"Blue Bed","minecraft:blue_bed","minecraft:beds, incendium:cheater_items"
"Minecraft","minecraft:blue_bed",935,"Blue Bed","minecraft:dye_blue_bed","minecraft:beds, incendium:cheater_items"
"Minecraft","minecraft:blue_candle",1202,"Blue Candle","minecraft:blue_candle","minecraft:candles"
"Minecraft","minecraft:blue_carpet",435,"Blue Carpet","minecraft:blue_carpet","chipped:blue_carpet, minecraft:wool_carpets, minecraft:dampens_vibrations"
"Minecraft","minecraft:blue_carpet",435,"Blue Carpet","minecraft:dye_blue_carpet","chipped:blue_carpet, minecraft:wool_carpets, minecraft:dampens_vibrations"
"Minecraft","minecraft:blue_concrete_powder",560,"Blue Concrete Powder","minecraft:blue_concrete_powder","supplementaries:concrete_powders"
"Minecraft","minecraft:blue_dye",915,"Blue Dye","minecraft:blue_dye","c:dye_any, c:dyes, c:dyes/blue, c:dye_blue, balm:dyes, c:blue_dyes, grapplemod:dye, supplementaries:blackboard_blue, balm:blue_dyes"
"Minecraft","minecraft:blue_dye",915,"Blue Dye","minecraft:blue_dye_from_cornflower","c:dye_any, c:dyes, c:dyes/blue, c:dye_blue, balm:dyes, c:blue_dyes, grapplemod:dye, supplementaries:blackboard_blue, balm:blue_dyes"
"Minecraft","minecraft:blue_glazed_terracotta",528,"Blue Glazed Terracotta","minecraft:blue_glazed_terracotta","chipped:blue_glazed_terracotta"
"Minecraft","minecraft:blue_ice",597,"Blue Ice","minecraft:blue_ice","chipped:blue_ice, c:ices, runes:rune_crafting/reagent/frost_medium, c:blue_ices, blockus:natural_ice"
"Minecraft","minecraft:blue_stained_glass",460,"Blue Stained Glass","minecraft:blue_stained_glass","c:blue_glass, c:glass_blocks, c:stained_glass, c:silica_glass, chipped:blue_stained_glass"
"Minecraft","minecraft:blue_stained_glass_pane",476,"Blue Stained Glass Pane","minecraft:blue_stained_glass_pane","chipped:blue_stained_glass_pane, c:blue_glass_panes, c:stained_glass_panes, c:glass_panes"
"Minecraft","minecraft:blue_stained_glass_pane",476,"Blue Stained Glass Pane","minecraft:blue_stained_glass_pane_from_glass_pane","chipped:blue_stained_glass_pane, c:blue_glass_panes, c:stained_glass_panes, c:glass_panes"
"Minecraft","minecraft:blue_terracotta",416,"Blue Terracotta","minecraft:blue_terracotta","chipped:blue_terracotta, minecraft:terracotta"
"Minecraft","minecraft:blue_wool",191,"Blue Wool","minecraft:dye_blue_wool","c:blue_wool, chipped:blue_wool, minecraft:dampens_vibrations, minecraft:wool"
"Minecraft","minecraft:bone_block",498,"Bone Block","minecraft:bone_block","chipped:bone_block"
"Minecraft","minecraft:bone_meal",920,"Bone Meal","minecraft:bone_meal","c:white_dyes, c:dyes, supplementaries:blackboard_white, c:dyes/white, balm:white_dyes, balm:dyes"
"Minecraft","minecraft:bone_meal",920,"Bone Meal","minecraft:bone_meal_from_bone_block","c:white_dyes, c:dyes, supplementaries:blackboard_white, c:dyes/white, balm:white_dyes, balm:dyes"
"Minecraft","minecraft:book",885,"Book","minecraft:book","minecraft:bookshelf_books, supplementaries:placeable_books, bookshelf:books, c:books"
"Minecraft","minecraft:bookshelf",264,"Bookshelf","minecraft:bookshelf","morecompvarsldx:bookshelves, chipped:bookshelf, c:bookshelves"
"Minecraft","minecraft:bow",760,"Bow","minecraft:bow","incendium:tools_armor, amendments:goes_in_tripwire_hook, c:tools, hybrid-aquatic:fishing_treasure, c:bows, bookshelf:bows, galosphere:weapon_racks_can_hold"
"Minecraft","minecraft:bowl",808,"Bowl","minecraft:bowl","c:container, forge:bowls, farm_and_charm:container, forge:container, bakery:container, farmersdelight:serving_containers, candlelight:bowls, c:bowls, candlelight:container"
"Minecraft","minecraft:bread",815,"Bread","minecraft:bread","c:bread, bakery:bread, meadow:bread, c:foods/breads, c:foods, farm_and_charm:bread, c:bread/wheat, c:foods/breads/wheat, wildernature:can_be_truffled, forge:bread"
"Minecraft","minecraft:brewing_stand",963,"Brewing Stand","minecraft:brewing_stand","c:villager_job_sites"
"Minecraft","minecraft:brick",881,"Brick","minecraft:brick","minecraft:decorated_pot_ingredients, c:ingots, c:brick_ingots, balm:ingots, supplementaries:throwable_bricks"
"Minecraft","minecraft:brick_slab",248,"Brick Slab","minecraft:brick_slab","minecraft:slabs"
"Minecraft","minecraft:brick_slab",248,"Brick Slab","minecraft:brick_slab_from_bricks_stonecutting","minecraft:slabs"
"Minecraft","minecraft:brick_stairs",339,"Brick Stairs","minecraft:brick_stairs","minecraft:stairs"
"Minecraft","minecraft:brick_stairs",339,"Brick Stairs","minecraft:brick_stairs_from_bricks_stonecutting","minecraft:stairs"
"Minecraft","minecraft:brick_wall",377,"Brick Wall","minecraft:brick_wall","minecraft:walls"
"Minecraft","minecraft:brick_wall",377,"Brick Wall","minecraft:brick_wall_from_bricks_stonecutting","minecraft:walls"
"Minecraft","minecraft:bricks",263,"Bricks","minecraft:bricks","chipped:bricks, handcrafted:trim_materials, chipped:borderless_bricks, handcrafted:counter_materials"
"Minecraft","minecraft:brown_banner",1099,"Brown Banner","minecraft:brown_banner","minecraft:banners"
"Minecraft","minecraft:brown_bed",936,"Brown Bed","minecraft:brown_bed","minecraft:beds, incendium:cheater_items"
"Minecraft","minecraft:brown_bed",936,"Brown Bed","minecraft:dye_brown_bed","minecraft:beds, incendium:cheater_items"
"Minecraft","minecraft:brown_candle",1203,"Brown Candle","minecraft:brown_candle","minecraft:candles"
"Minecraft","minecraft:brown_carpet",436,"Brown Carpet","minecraft:brown_carpet","chipped:brown_carpet, minecraft:wool_carpets, minecraft:dampens_vibrations"
"Minecraft","minecraft:brown_carpet",436,"Brown Carpet","minecraft:dye_brown_carpet","chipped:brown_carpet, minecraft:wool_carpets, minecraft:dampens_vibrations"
"Minecraft","minecraft:brown_concrete_powder",561,"Brown Concrete Powder","minecraft:brown_concrete_powder","supplementaries:concrete_powders"
"Minecraft","minecraft:brown_dye",916,"Brown Dye","minecraft:brown_dye","c:dyes, balm:brown_dyes, c:dye_brown, balm:dyes, supplementaries:blackboard_brown, grapplemod:dye, c:brown_dyes, c:dyes/brown, c:dye_any"
"Minecraft","minecraft:brown_glazed_terracotta",529,"Brown Glazed Terracotta","minecraft:brown_glazed_terracotta","chipped:brown_glazed_terracotta"
"Minecraft","minecraft:brown_stained_glass",461,"Brown Stained Glass","minecraft:brown_stained_glass","c:glass_blocks, chipped:brown_stained_glass, c:stained_glass, c:silica_glass, c:brown_glass"
"Minecraft","minecraft:brown_stained_glass_pane",477,"Brown Stained Glass Pane","minecraft:brown_stained_glass_pane","c:brown_glass_panes, c:stained_glass_panes, chipped:brown_stained_glass_pane, c:glass_panes"
"Minecraft","minecraft:brown_stained_glass_pane",477,"Brown Stained Glass Pane","minecraft:brown_stained_glass_pane_from_glass_pane","c:brown_glass_panes, c:stained_glass_panes, chipped:brown_stained_glass_pane, c:glass_panes"
"Minecraft","minecraft:brown_terracotta",417,"Brown Terracotta","minecraft:brown_terracotta","minecraft:terracotta, chipped:brown_terracotta"
"Minecraft","minecraft:brown_wool",192,"Brown Wool","minecraft:dye_brown_wool","minecraft:wool, minecraft:dampens_vibrations, chipped:brown_wool, c:brown_wool"
"Minecraft","minecraft:brush",1217,"Brush","minecraft:brush","amendments:goes_in_tripwire_hook, galosphere:weapon_racks_can_hold"
"Minecraft","minecraft:bucket",868,"Bucket","minecraft:bucket","farmersdelight:serving_containers, ae2:p2p_attunements/fluid_p2p_tunnel, c:empty_buckets"
"Minecraft","minecraft:cake",923,"Cake","minecraft:cake",""
"Minecraft","minecraft:calibrated_sculk_sensor",654,"Calibrated Sculk Sensor","minecraft:calibrated_sculk_sensor",""
"Minecraft","minecraft:campfire",1167,"Campfire","minecraft:campfire",""
"Minecraft","minecraft:candle",1190,"Candle","minecraft:candle","minecraft:candles"
"Minecraft","minecraft:carrot_on_a_stick",733,"Carrot on a Stick","minecraft:carrot_on_a_stick",""
"Minecraft","minecraft:cartography_table",1157,"Cartography Table","minecraft:cartography_table","c:villager_job_sites"
"Minecraft","minecraft:cauldron",964,"Cauldron","minecraft:cauldron","c:villager_job_sites"
"Minecraft","minecraft:chain",334,"Chain","minecraft:chain","connectiblechains:catenary_items, supplementaries:chains, c:chains"
"Minecraft","minecraft:charcoal",763,"Charcoal","minecraft:charcoal","minecraft:coals, runes:rune_crafting/reagent/fire_small, supplementaries:blackboard_black, c:coal"
"Minecraft","minecraft:cherry_boat",746,"Cherry Boat","minecraft:cherry_boat","minecraft:boats"
"Minecraft","minecraft:cherry_button",667,"Cherry Button","minecraft:cherry_button","extshape:wooden_blocks, minecraft:buttons, minecraft:wooden_buttons"
"Minecraft","minecraft:cherry_chest_boat",747,"Cherry Boat with Chest","minecraft:cherry_chest_boat","minecraft:boats, minecraft:chest_boats"
"Minecraft","minecraft:cherry_door",694,"Cherry Door","minecraft:cherry_door","chipped:cherry_door, minecraft:doors, minecraft:wooden_doors"
"Minecraft","minecraft:cherry_fence",294,"Cherry Fence","minecraft:cherry_fence","c:fences, c:wooden_fences, minecraft:fences, extshape:wooden_blocks, minecraft:wooden_fences"
