"Mod name","Registry name","Hardness","Resistance"
"Chipped","chipped:blobby_moss_block","0,10","0,10"
"Chipped","chipped:blocky_black_carpet","0,10","0,10"
"Chipped","chipped:blocky_black_wool","0,80","0,80"
"Chipped","chipped:blocky_blue_carpet","0,10","0,10"
"Chipped","chipped:blocky_blue_wool","0,80","0,80"
"Chipped","chipped:blocky_brown_carpet","0,10","0,10"
"Chipped","chipped:blocky_brown_wool","0,80","0,80"
"Chipped","chipped:blocky_cyan_carpet","0,10","0,10"
"Chipped","chipped:blocky_cyan_wool","0,80","0,80"
"Chipped","chipped:blocky_gray_carpet","0,10","0,10"
"Chipped","chipped:blocky_gray_wool","0,80","0,80"
"Chipped","chipped:blocky_green_carpet","0,10","0,10"
"Chipped","chipped:blocky_green_wool","0,80","0,80"
"Chipped","chipped:blocky_light_blue_carpet","0,10","0,10"
"Chipped","chipped:blocky_light_blue_wool","0,80","0,80"
"Chipped","chipped:blocky_light_gray_carpet","0,10","0,10"
"Chipped","chipped:blocky_light_gray_wool","0,80","0,80"
"Chipped","chipped:blocky_lime_carpet","0,10","0,10"
"Chipped","chipped:blocky_lime_wool","0,80","0,80"
"Chipped","chipped:blocky_magenta_carpet","0,10","0,10"
"Chipped","chipped:blocky_magenta_wool","0,80","0,80"
"Chipped","chipped:blocky_orange_carpet","0,10","0,10"
"Chipped","chipped:blocky_orange_wool","0,80","0,80"
"Chipped","chipped:blocky_pink_carpet","0,10","0,10"
"Chipped","chipped:blocky_pink_wool","0,80","0,80"
"Chipped","chipped:blocky_purple_carpet","0,10","0,10"
"Chipped","chipped:blocky_purple_wool","0,80","0,80"
"Chipped","chipped:blocky_red_carpet","0,10","0,10"
"Chipped","chipped:blocky_red_wool","0,80","0,80"
"Chipped","chipped:blocky_white_carpet","0,10","0,10"
"Chipped","chipped:blocky_white_wool","0,80","0,80"
"Chipped","chipped:blocky_yellow_carpet","0,10","0,10"
"Chipped","chipped:blocky_yellow_wool","0,80","0,80"
"Chipped","chipped:bloomed_warped_roots","0,00","0,00"
"Chipped","chipped:blooming_mushroom_stem","0,20","0,20"
"Chipped","chipped:blue_concrete_bricks","1,80","1,80"
"Chipped","chipped:blue_concrete_panel","1,80","1,80"
"Chipped","chipped:blue_concrete_pillar","1,80","1,80"
"Chipped","chipped:blue_concrete_tiles","1,80","1,80"
"Chipped","chipped:blue_dried_kelp_block","0,50","2,50"
"Chipped","chipped:blue_glazed_terracotta_pillar_sides","1,40","1,40"
"Chipped","chipped:blue_glazed_terracotta_pillar_top","1,40","1,40"
"Chipped","chipped:blue_glazed_terracotta_smooth_tiles","1,40","1,40"
"Chipped","chipped:blue_glazed_terracotta_tiles","1,40","1,40"
"Chipped","chipped:blue_ice_bricks","2,80","2,80"
"Chipped","chipped:blue_ice_mini_tiles","2,80","2,80"
"Chipped","chipped:blue_ice_pillar","2,80","2,80"
"Chipped","chipped:blue_ice_pillar_top","2,80","2,80"
"Chipped","chipped:blue_ice_scales","2,80","2,80"
"Chipped","chipped:blue_mangrove_roots","0,70","0,70"
"Chipped","chipped:blue_moss_block","0,10","0,10"
"Chipped","chipped:blue_paper_lantern","3,50","3,50"
"Chipped","chipped:blue_paper_soul_lantern","3,50","3,50"
"Chipped","chipped:blue_redstone_torch","0,00","0,00"
"Chipped","chipped:blue_redstone_wall_torch","0,00","0,00"
"Chipped","chipped:blue_terracotta_bricks","1,25","4,20"
"Chipped","chipped:blue_terracotta_column","1,25","4,20"
"Chipped","chipped:blue_terracotta_pillar","1,25","4,20"
"Chipped","chipped:blue_terracotta_tile","1,25","4,20"
"Chipped","chipped:blue_terracotta_tiles","1,25","4,20"
"Chipped","chipped:blue_tube_soul_lantern","3,50","3,50"
"Chipped","chipped:boarded_acacia_door","3,00","3,00"
"Chipped","chipped:boarded_bamboo_door","3,00","3,00"
"Chipped","chipped:boarded_birch_door","3,00","3,00"
"Chipped","chipped:boarded_cherry_door","3,00","3,00"
"Chipped","chipped:boarded_crimson_door","3,00","3,00"
"Chipped","chipped:boarded_dark_oak_door","3,00","3,00"
"Chipped","chipped:boarded_jungle_door","3,00","3,00"
"Chipped","chipped:boarded_mangrove_door","3,00","3,00"
"Chipped","chipped:boarded_oak_door","3,00","3,00"
"Chipped","chipped:boarded_warped_door","3,00","3,00"
"Chipped","chipped:bolby_nether_sprouts","0,00","0,00"
"Chipped","chipped:bolted_black_concrete","1,80","1,80"
"Chipped","chipped:bolted_blue_concrete","1,80","1,80"
"Chipped","chipped:bolted_brown_concrete","1,80","1,80"
"Chipped","chipped:bolted_cyan_concrete","1,80","1,80"
"Chipped","chipped:bolted_gray_concrete","1,80","1,80"
"Chipped","chipped:bolted_green_concrete","1,80","1,80"
"Chipped","chipped:bolted_iron_bars","5,00","6,00"
"Chipped","chipped:bolted_light_blue_concrete","1,80","1,80"
"Chipped","chipped:bolted_light_gray_concrete","1,80","1,80"
"Chipped","chipped:bolted_lime_concrete","1,80","1,80"
"Chipped","chipped:bolted_magenta_concrete","1,80","1,80"
"Chipped","chipped:bolted_orange_concrete","1,80","1,80"
"Chipped","chipped:bolted_pink_concrete","1,80","1,80"
"Chipped","chipped:bolted_purple_concrete","1,80","1,80"
"Chipped","chipped:bolted_red_concrete","1,80","1,80"
"Chipped","chipped:bolted_white_concrete","1,80","1,80"
"Chipped","chipped:bolted_yellow_concrete","1,80","1,80"
"Chipped","chipped:boo_carved_pumpkin","1,00","1,00"
"Chipped","chipped:boo_jack_o_lantern","1,00","1,00"
"Chipped","chipped:bordered_amethyst_block","1,50","1,50"
"Chipped","chipped:bordered_ancient_debris","30,00","1200,00"
"Chipped","chipped:bordered_andesite","1,50","6,00"
"Chipped","chipped:bordered_basalt","1,25","4,20"
"Chipped","chipped:bordered_blackstone","1,50","6,00"
"Chipped","chipped:bordered_blue_ice","2,80","2,80"
"Chipped","chipped:bordered_borderless_bricks","2,00","6,00"
"Chipped","chipped:bordered_bricks","2,00","6,00"
"Chipped","chipped:bordered_calcite","0,75","0,75"
"Chipped","chipped:bordered_clay","0,60","0,60"
"Chipped","chipped:bordered_coal_block","5,00","6,00"
"Chipped","chipped:bordered_cobblestone","2,00","6,00"
"Chipped","chipped:bordered_crying_obsidian","50,00","1200,00"
"Chipped","chipped:bordered_dark_prismarine","1,50","6,00"
"Chipped","chipped:bordered_deepslate","3,00","6,00"
"Chipped","chipped:bordered_diorite","1,50","6,00"
"Chipped","chipped:bordered_dirt","0,50","0,50"
"Chipped","chipped:bordered_dripstone_block","1,50","1,00"
"Chipped","chipped:bordered_end_stone","3,00","9,00"
"Chipped","chipped:bordered_gilded_blackstone","1,50","6,00"
"Chipped","chipped:bordered_granite","1,50","6,00"
"Chipped","chipped:bordered_ice","0,50","0,50"
"Chipped","chipped:bordered_lapis_block","3,00","3,00"
"Chipped","chipped:bordered_lodestone","3,50","3,50"
"Chipped","chipped:bordered_magma_block","0,50","0,50"
"Chipped","chipped:bordered_mossy_cobblestone","2,00","6,00"
"Chipped","chipped:bordered_mossy_stone_bricks","1,50","6,00"
"Chipped","chipped:bordered_mud","0,50","0,50"
"Chipped","chipped:bordered_mud_bricks","1,50","3,00"
"Chipped","chipped:bordered_nether_bricks","2,00","6,00"
"Chipped","chipped:bordered_netherrack","0,40","0,40"
"Chipped","chipped:bordered_obsidian","50,00","1200,00"
"Chipped","chipped:bordered_packed_ice","0,50","0,50"
"Chipped","chipped:bordered_packed_mud","1,00","3,00"
"Chipped","chipped:bordered_prismarine","1,50","6,00"
"Chipped","chipped:bordered_purpur_block","1,50","6,00"
"Chipped","chipped:bordered_quartz_block","0,80","0,80"
"Chipped","chipped:bordered_raw_copper_block","5,00","6,00"
"Chipped","chipped:bordered_raw_gold_block","5,00","6,00"
"Chipped","chipped:bordered_raw_iron_block","5,00","6,00"
"Chipped","chipped:bordered_red_nether_bricks","2,00","6,00"
"Chipped","chipped:bordered_red_sandstone","0,80","0,80"
"Chipped","chipped:bordered_redstone_block","5,00","6,00"
"Chipped","chipped:bordered_sandstone","0,80","0,80"
"Chipped","chipped:bordered_smooth_stone","2,00","6,00"
"Chipped","chipped:bordered_snow_block","0,20","0,20"
"Chipped","chipped:bordered_stone","1,50","6,00"
"Chipped","chipped:bordered_tuff","1,50","6,00"
"Chipped","chipped:borderless_bricks_bricks","2,00","6,00"
"Chipped","chipped:borderless_bricks_mini_tiles","2,00","6,00"
"Chipped","chipped:borderless_bricks_pillar","2,00","6,00"
"Chipped","chipped:borderless_bricks_pillar_top","2,00","6,00"
"Chipped","chipped:borderless_bricks_scales","2,00","6,00"
"Chipped","chipped:botanical_oak_bookshelf","1,50","1,50"
