"Mod name","Registry name","Item ID","Display name","Durability","Tags"
"Minecraft","minecraft:fishing_rod",891,"Fishing Rod",64,"amendments:goes_in_tripwire_hook, hybrid-aquatic:fishing_treasure, incendium:tools, c:fishing_rods, c:tools, bookshelf:fishing_rods"
"Minecraft","minecraft:flint_and_steel",758,"Flint and Steel",64,"minecraft:creeper_igniters, incendium:tools, supplementaries:fire_sources"
"Minecraft","minecraft:golden_axe",790,"Golden Axe",32,"minecraft:axes, immersive_armors:axes, amendments:goes_in_tripwire_hook, c:tools, minecraft:piglin_loved, minecraft:breaks_decorated_pots, galosphere:weapon_racks_can_hold, incendium:gold_unstackable, minecraft:tools, galosphere:preservable_items, incendium:tools_armor, c:axes, incendium:tools"
"Minecraft","minecraft:golden_boots",835,"Golden Boots",91,"galosphere:preservable_items, incendium:armor, c:armor, c:armors, minecraft:piglin_loved, incendium:gold_unstackable, c:boots, bookshelf:armor, minecraft:trimmable_armor, incendium:tools_armor, bookshelf:boots"
"Minecraft","minecraft:golden_chestplate",833,"Golden Chestplate",112,"c:chestplates, galosphere:preservable_items, bookshelf:chestplates, c:armor, c:armors, minecraft:piglin_loved, incendium:armor, incendium:gold_unstackable, bookshelf:armor, minecraft:trimmable_armor, incendium:tools_armor"
"Minecraft","minecraft:golden_helmet",832,"Golden Helmet",77,"galosphere:preservable_items, bookshelf:helmets, incendium:armor, c:armor, c:armors, minecraft:piglin_loved, incendium:gold_unstackable, bookshelf:armor, c:helmets, minecraft:trimmable_armor, incendium:tools_armor"
"Minecraft","minecraft:golden_hoe",791,"Golden Hoe",32,"c:tools, c:hoes, galosphere:weapon_racks_can_hold, minecraft:tools, incendium:tools, minecraft:hoes, minecraft:piglin_loved, galosphere:preservable_items, incendium:gold_unstackable, minecraft:breaks_decorated_pots, incendium:tools_armor, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:golden_leggings",834,"Golden Leggings",105,"bookshelf:leggings, galosphere:preservable_items, incendium:armor, c:armor, c:armors, minecraft:piglin_loved, incendium:gold_unstackable, bookshelf:armor, c:leggings, minecraft:trimmable_armor, incendium:tools_armor"
"Minecraft","minecraft:golden_pickaxe",789,"Golden Pickaxe",32,"galosphere:preservable_items, minecraft:pickaxes, c:pickaxes, minecraft:tools, c:tools, incendium:tools, minecraft:breaks_decorated_pots, minecraft:piglin_loved, galosphere:weapon_racks_can_hold, incendium:gold_unstackable, incendium:tools_armor, minecraft:cluster_max_harvestables, amendments:goes_in_tripwire_hook, galosphere:stonefish_repellent"
"Minecraft","minecraft:golden_shovel",788,"Golden Shovel",32,"c:tools, galosphere:weapon_racks_can_hold, minecraft:shovels, minecraft:tools, incendium:tools, incendium:gold_unstackable, minecraft:piglin_loved, galosphere:preservable_items, minecraft:breaks_decorated_pots, incendium:tools_armor, amendments:goes_in_tripwire_hook, c:shovels"
"Minecraft","minecraft:golden_sword",787,"Golden Sword",32,"c:tools, minecraft:swords, galosphere:weapon_racks_can_hold, minecraft:tools, incendium:gold_unstackable, bakery:knives, minecraft:piglin_loved, galosphere:preservable_items, minecraft:breaks_decorated_pots, incendium:tools_armor, amendments:goes_in_tripwire_hook, c:swords"
"Minecraft","minecraft:iron_axe",795,"Iron Axe",250,"minecraft:axes, minecraft:tools, galosphere:preservable_items, amendments:goes_in_tripwire_hook, incendium:tools, c:tools, c:axes, galosphere:weapon_racks_can_hold, immersive_armors:axes, incendium:tools_armor, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:iron_boots",827,"Iron Boots",195,"bookshelf:boots, c:boots, incendium:tools_armor, supplementaries:ignite_flint_blocks, c:armors, incendium:armor, galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor"
"Minecraft","minecraft:iron_chestplate",825,"Iron Chestplate",240,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, bookshelf:chestplates, c:chestplates, incendium:armor, c:armors"
"Minecraft","minecraft:iron_helmet",824,"Iron Helmet",165,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, c:helmets, bookshelf:helmets, incendium:armor, c:armors"
"Minecraft","minecraft:iron_hoe",796,"Iron Hoe",250,"minecraft:hoes, amendments:goes_in_tripwire_hook, c:hoes, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:tools, c:tools, incendium:tools"
"Minecraft","minecraft:iron_leggings",826,"Iron Leggings",225,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, bookshelf:leggings, incendium:armor, c:armors, c:leggings"
"Minecraft","minecraft:iron_pickaxe",794,"Iron Pickaxe",250,"galosphere:stonefish_repellent, c:tools, galosphere:weapon_racks_can_hold, minecraft:cluster_max_harvestables, minecraft:tools, incendium:tools, galosphere:preservable_items, c:pickaxes, minecraft:breaks_decorated_pots, incendium:tools_armor, minecraft:pickaxes, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:iron_shovel",793,"Iron Shovel",250,"amendments:goes_in_tripwire_hook, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:shovels, c:tools, minecraft:tools, c:shovels, incendium:tools"
"Minecraft","minecraft:iron_sword",792,"Iron Sword",250,"amendments:goes_in_tripwire_hook, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:tools, c:tools, bakery:knives, minecraft:swords, c:swords"
"Minecraft","minecraft:leather_boots",819,"Leather Boots",65,"minecraft:trimmable_armor, minecraft:freeze_immune_wearables, galosphere:preservable_items, c:armor, c:boots, bookshelf:armor, bookshelf:boots, c:armors"
"Minecraft","minecraft:leather_chestplate",817,"Leather Tunic",80,"minecraft:trimmable_armor, minecraft:freeze_immune_wearables, galosphere:preservable_items, c:chestplates, c:armor, bookshelf:chestplates, bookshelf:armor, c:armors"
"Minecraft","minecraft:leather_helmet",816,"Leather Cap",55,"c:helmets, bookshelf:helmets, minecraft:trimmable_armor, minecraft:freeze_immune_wearables, galosphere:preservable_items, c:armor, bookshelf:armor, c:armors"
"Minecraft","minecraft:leather_leggings",818,"Leather Pants",75,"c:leggings, minecraft:trimmable_armor, bookshelf:leggings, minecraft:freeze_immune_wearables, galosphere:preservable_items, c:armor, bookshelf:armor, c:armors"
"Minecraft","minecraft:netherite_axe",805,"Netherite Axe",2031,"c:tools, galosphere:weapon_racks_can_hold, minecraft:tools, galosphere:preservable_items, c:axes, advancednetherite:axes/upgrade_to_netherite_iron, immersive_armors:axes, minecraft:breaks_decorated_pots, advancednetherite:axes/netherite, amendments:goes_in_tripwire_hook, minecraft:axes, furniture:trash_bag_blacklist"
"Minecraft","minecraft:netherite_boots",839,"Netherite Boots",481,"bookshelf:boots, c:boots, advancednetherite:boots/netherite, c:armors, galosphere:preservable_items, minecraft:trimmable_armor, advancednetherite:boots/upgrade_to_netherite_iron, bookshelf:armor, furniture:trash_bag_blacklist, c:armor"
"Minecraft","minecraft:netherite_chestplate",837,"Netherite Chestplate",592,"c:chestplates, galosphere:preservable_items, bookshelf:chestplates, c:armor, c:armors, advancednetherite:chestplates/upgrade_to_netherite_iron, bookshelf:armor, advancednetherite:chestplates/netherite, furniture:trash_bag_blacklist, minecraft:trimmable_armor, incendium:tools_armor"
"Minecraft","minecraft:netherite_helmet",836,"Netherite Helmet",407,"bookshelf:helmets, c:armors, advancednetherite:helmets/upgrade_to_netherite_iron, c:helmets, advancednetherite:helmets/netherite, galosphere:preservable_items, minecraft:trimmable_armor, furniture:trash_bag_blacklist, bookshelf:armor, c:armor"
"Minecraft","minecraft:netherite_hoe",806,"Netherite Hoe",2031,"minecraft:tools, galosphere:preservable_items, c:hoes, amendments:goes_in_tripwire_hook, advancednetherite:hoes/netherite, c:tools, galosphere:weapon_racks_can_hold, advancednetherite:hoes/upgrade_to_netherite_iron, furniture:trash_bag_blacklist, minecraft:breaks_decorated_pots, minecraft:hoes"
"Minecraft","minecraft:netherite_leggings",838,"Netherite Leggings",555,"c:armors, advancednetherite:leggings/netherite, galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:leggings, bookshelf:armor, c:leggings, c:armor, advancednetherite:leggings/upgrade_to_netherite_iron, furniture:trash_bag_blacklist"
"Minecraft","minecraft:netherite_pickaxe",804,"Netherite Pickaxe",2031,"furniture:trash_bag_blacklist, minecraft:cluster_max_harvestables, amendments:goes_in_tripwire_hook, c:pickaxes, c:tools, minecraft:breaks_decorated_pots, galosphere:weapon_racks_can_hold, minecraft:pickaxes, advancednetherite:pickaxes/netherite, advancednetherite:pickaxes/upgrade_to_netherite_iron, galosphere:preservable_items, minecraft:tools, galosphere:stonefish_repellent"
"Minecraft","minecraft:netherite_shovel",803,"Netherite Shovel",2031,"advancednetherite:shovels/netherite, minecraft:tools, advancednetherite:shovels/upgrade_to_netherite_iron, galosphere:preservable_items, amendments:goes_in_tripwire_hook, minecraft:shovels, c:tools, galosphere:weapon_racks_can_hold, c:shovels, furniture:trash_bag_blacklist, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:netherite_sword",802,"Netherite Sword",2031,"c:tools, minecraft:swords, galosphere:weapon_racks_can_hold, advancednetherite:swords/netherite, minecraft:tools, bakery:knives, galosphere:preservable_items, minecraft:breaks_decorated_pots, advancednetherite:swords/upgrade_to_netherite_iron, amendments:goes_in_tripwire_hook, c:swords, furniture:trash_bag_blacklist"
"Minecraft","minecraft:shears",942,"Shears",238,"minecraft:tools, galosphere:preservable_items, c:shears, bakery:knives, incendium:tools, galosphere:weapon_racks_can_hold, bookshelf:shears, meadow:shears, minecraft:breaks_decorated_pots, c:tools/shears, naturalist:shears"
"Minecraft","minecraft:shield",1116,"Shield",336,"farmersdelight:offhand_equipment, amendments:goes_in_tripwire_hook, c:tools, bookshelf:shields, galosphere:weapon_racks_can_hold, c:shields"
"Minecraft","minecraft:stone_axe",785,"Stone Axe",131,"minecraft:axes, minecraft:tools, galosphere:preservable_items, amendments:goes_in_tripwire_hook, incendium:tools, c:tools, c:axes, galosphere:weapon_racks_can_hold, immersive_armors:axes, incendium:tools_armor, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:stone_hoe",786,"Stone Hoe",131,"minecraft:hoes, amendments:goes_in_tripwire_hook, c:hoes, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:tools, c:tools, incendium:tools"
"Minecraft","minecraft:stone_pickaxe",784,"Stone Pickaxe",131,"galosphere:stonefish_repellent, c:tools, galosphere:weapon_racks_can_hold, minecraft:cluster_max_harvestables, minecraft:tools, incendium:tools, galosphere:preservable_items, c:pickaxes, minecraft:breaks_decorated_pots, incendium:tools_armor, minecraft:pickaxes, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:stone_shovel",783,"Stone Shovel",131,"amendments:goes_in_tripwire_hook, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:shovels, c:tools, minecraft:tools, c:shovels, incendium:tools"
"Minecraft","minecraft:stone_sword",782,"Stone Sword",131,"minecraft:swords, galosphere:weapon_racks_can_hold, galosphere:preservable_items, minecraft:breaks_decorated_pots, c:tools, bakery:knives, c:swords, amendments:goes_in_tripwire_hook, minecraft:tools"
"Minecraft","minecraft:trident",1139,"Trident",250,"supplementaries:pedestal_downright, amendments:goes_in_tripwire_hook, farmersdelight:flat_on_cutting_board, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, c:tridents, galosphere:preservable_items, c:tools, minecraft:tools, c:spears"
"Minecraft","minecraft:turtle_helmet",756,"Turtle Shell",275,"c:helmets, c:armor, c:armors, bookshelf:armor, galosphere:preservable_items, bookshelf:helmets, minecraft:trimmable_armor"
"Minecraft","minecraft:warped_fungus_on_a_stick",734,"Warped Fungus on a Stick",100,""
"Minecraft","minecraft:wooden_axe",780,"Wooden Axe",59,"galosphere:weapon_racks_can_hold, galosphere:preservable_items, minecraft:breaks_decorated_pots, immersive_armors:axes, c:axes, c:tools, minecraft:axes, amendments:goes_in_tripwire_hook, minecraft:tools"
"Minecraft","minecraft:wooden_hoe",781,"Wooden Hoe",59,"c:hoes, minecraft:breaks_decorated_pots, c:tools, minecraft:hoes, galosphere:weapon_racks_can_hold, galosphere:preservable_items, minecraft:tools, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:wooden_pickaxe",779,"Wooden Pickaxe",59,"amendments:goes_in_tripwire_hook, minecraft:pickaxes, galosphere:weapon_racks_can_hold, c:pickaxes, minecraft:breaks_decorated_pots, galosphere:preservable_items, galosphere:stonefish_repellent, c:tools, minecraft:cluster_max_harvestables, minecraft:tools"
"Minecraft","minecraft:wooden_shovel",778,"Wooden Shovel",59,"minecraft:shovels, minecraft:breaks_decorated_pots, c:tools, galosphere:weapon_racks_can_hold, galosphere:preservable_items, c:shovels, minecraft:tools, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:wooden_sword",777,"Wooden Sword",59,"minecraft:tools, galosphere:preservable_items, amendments:goes_in_tripwire_hook, bakery:knives, c:tools, supplementaries:pedestal_upright, galosphere:weapon_racks_can_hold, minecraft:swords, supplementaries:statue_swords, minecraft:breaks_decorated_pots, c:swords"
"Unknown","advancednetherite:netherite_diamond_axe",1878,"Netherite-Diamond Axe",3092,"advancednetherite:tiers/tools/netherite_diamond, advancednetherite:tiers/tools, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:tools, minecraft:axes, advancednetherite:axes/netherite_diamond, immersive_armors:axes, tooltiprareness:epic_item"
"Unknown","advancednetherite:netherite_diamond_boots",1874,"Netherite-Diamond Boots",611,"c:boots, advancednetherite:boots/netherite_diamond, bookshelf:armor, advancednetherite:config/pacify_piglins, minecraft:trimmable_armor, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, advancednetherite:tiers/armor/netherite_diamond, advancednetherite:tiers/armor, advancednetherite:config/pacify_endermen, bookshelf:boots"
"Unknown","advancednetherite:netherite_diamond_chestplate",1872,"Netherite-Diamond Chestplate",752,"advancednetherite:chestplates/netherite_diamond, bookshelf:armor, advancednetherite:config/pacify_piglins, minecraft:trimmable_armor, bookshelf:chestplates, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, c:chestplates, advancednetherite:tiers/armor/netherite_diamond, advancednetherite:tiers/armor, advancednetherite:config/pacify_endermen"
"Unknown","advancednetherite:netherite_diamond_helmet",1871,"Netherite-Diamond Helmet",517,"c:helmets, bookshelf:armor, advancednetherite:config/pacify_piglins, minecraft:trimmable_armor, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, advancednetherite:tiers/armor/netherite_diamond, advancednetherite:tiers/armor, bookshelf:helmets, advancednetherite:config/pacify_endermen, advancednetherite:helmets/netherite_diamond"
"Unknown","advancednetherite:netherite_diamond_hoe",1882,"Netherite-Diamond Hoe",3092,"minecraft:tools, galosphere:weapon_racks_can_hold, tooltiprareness:epic_item, galosphere:preservable_items, minecraft:breaks_decorated_pots, advancednetherite:hoes/netherite_diamond, minecraft:hoes, advancednetherite:tiers/tools/netherite_diamond, advancednetherite:tiers/tools"
"Unknown","advancednetherite:netherite_diamond_leggings",1873,"Netherite-Diamond Leggings",705,"c:leggings, bookshelf:armor, advancednetherite:config/pacify_piglins, minecraft:trimmable_armor, advancednetherite:leggings/netherite_diamond, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, bookshelf:leggings, advancednetherite:tiers/armor/netherite_diamond, advancednetherite:tiers/armor, advancednetherite:config/pacify_endermen"
"Unknown","advancednetherite:netherite_diamond_pickaxe",1886,"Netherite-Diamond Pickaxe",3092,"minecraft:tools, advancednetherite:tiers/tools/netherite_diamond, advancednetherite:tiers/tools, galosphere:preservable_items, advancednetherite:pickaxes/netherite_diamond, galosphere:weapon_racks_can_hold, minecraft:pickaxes, minecraft:cluster_max_harvestables, tooltiprareness:epic_item, minecraft:breaks_decorated_pots, galosphere:stonefish_repellent"
"Unknown","advancednetherite:netherite_diamond_shovel",1890,"Netherite-Diamond Shovel",3092,"minecraft:tools, galosphere:weapon_racks_can_hold, minecraft:shovels, galosphere:preservable_items, tooltiprareness:epic_item, minecraft:breaks_decorated_pots, advancednetherite:shovels/netherite_diamond, advancednetherite:tiers/tools/netherite_diamond, advancednetherite:tiers/tools"
"Unknown","advancednetherite:netherite_diamond_sword",1894,"Netherite-Diamond Sword",3092,"minecraft:swords, galosphere:weapon_racks_can_hold, minecraft:tools, galosphere:preservable_items, tooltiprareness:epic_item, minecraft:breaks_decorated_pots, advancednetherite:swords/netherite_diamond, advancednetherite:tiers/tools/netherite_diamond, advancednetherite:tiers/tools"
"Unknown","advancednetherite:netherite_emerald_axe",1877,"Netherite-Emerald Axe",2651,"minecraft:axes, advancednetherite:axes/netherite_emerald, advancednetherite:tiers/tools, galosphere:preservable_items, minecraft:tools, advancednetherite:axes/upgrade_to_netherite_diamond, galosphere:weapon_racks_can_hold, tooltiprareness:epic_item, immersive_armors:axes, minecraft:breaks_decorated_pots, advancednetherite:tiers/tools/netherite_emerald"
"Unknown","advancednetherite:netherite_emerald_boots",1870,"Netherite-Emerald Boots",559,"c:boots, advancednetherite:boots/upgrade_to_netherite_diamond, bookshelf:armor, advancednetherite:boots/netherite_emerald, minecraft:trimmable_armor, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, advancednetherite:tiers/armor, advancednetherite:config/pacify_endermen, advancednetherite:tiers/armor/netherite_emerald, bookshelf:boots"
"Unknown","advancednetherite:netherite_emerald_chestplate",1868,"Netherite-Emerald Chestplate",688,"advancednetherite:chestplates/upgrade_to_netherite_diamond, advancednetherite:chestplates/netherite_emerald, bookshelf:armor, minecraft:trimmable_armor, bookshelf:chestplates, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, c:chestplates, advancednetherite:tiers/armor, advancednetherite:tiers/armor/netherite_emerald, advancednetherite:config/pacify_endermen"
"Unknown","advancednetherite:netherite_emerald_helmet",1867,"Netherite-Emerald Helmet",473,"advancednetherite:helmets/netherite_emerald, advancednetherite:helmets/upgrade_to_netherite_diamond, c:helmets, bookshelf:armor, minecraft:trimmable_armor, c:armors, galosphere:preservable_items, tooltiprareness:epic_item, c:armor, advancednetherite:tiers/armor, advancednetherite:config/pacify_endermen, advancednetherite:tiers/armor/netherite_emerald, bookshelf:helmets"
"Unknown","advancednetherite:netherite_emerald_hoe",1881,"Netherite-Emerald Hoe",2651,"minecraft:hoes, advancednetherite:tiers/tools, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, advancednetherite:hoes/upgrade_to_netherite_diamond, advancednetherite:hoes/netherite_emerald, galosphere:preservable_items, minecraft:tools, advancednetherite:tiers/tools/netherite_emerald, tooltiprareness:epic_item"
"Unknown","advancednetherite:netherite_emerald_leggings",1869,"Netherite-Emerald Leggings",645,"c:leggings, bookshelf:armor, minecraft:trimmable_armor, c:armors, advancednetherite:leggings/netherite_emerald, galosphere:preservable_items, tooltiprareness:epic_item, bookshelf:leggings, c:armor, advancednetherite:tiers/armor/netherite_emerald, advancednetherite:tiers/armor, advancednetherite:leggings/upgrade_to_netherite_diamond, advancednetherite:config/pacify_endermen"
"Unknown","advancednetherite:netherite_emerald_pickaxe",1885,"Netherite-Emerald Pickaxe",2651,"advancednetherite:pickaxes/netherite_emerald, galosphere:stonefish_repellent, galosphere:weapon_racks_can_hold, minecraft:cluster_max_harvestables, advancednetherite:tiers/tools, minecraft:tools, galosphere:preservable_items, minecraft:breaks_decorated_pots, advancednetherite:pickaxes/upgrade_to_netherite_diamond, minecraft:pickaxes, tooltiprareness:epic_item, advancednetherite:tiers/tools/netherite_emerald"
"Unknown","advancednetherite:netherite_emerald_shovel",1889,"Netherite-Emerald Shovel",2651,"advancednetherite:shovels/netherite_emerald, advancednetherite:tiers/tools, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, advancednetherite:tiers/tools/netherite_emerald, galosphere:preservable_items, minecraft:shovels, minecraft:tools, advancednetherite:shovels/upgrade_to_netherite_diamond, tooltiprareness:epic_item"
"Unknown","advancednetherite:netherite_emerald_sword",1893,"Netherite-Emerald Sword",2651,"advancednetherite:tiers/tools, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, advancednetherite:tiers/tools/netherite_emerald, advancednetherite:swords/netherite_emerald, galosphere:preservable_items, advancednetherite:swords/upgrade_to_netherite_diamond, minecraft:tools, minecraft:swords, tooltiprareness:epic_item"
"Unknown","advancednetherite:netherite_gold_axe",1876,"Netherite-Gold Axe",2313,"advancednetherite:axes/upgrade_to_netherite_emerald, galosphere:weapon_racks_can_hold, advancednetherite:tiers/tools, minecraft:tools, advancednetherite:tiers/tools/netherite_gold, minecraft:piglin_loved, galosphere:preservable_items, minecraft:breaks_decorated_pots, immersive_armors:axes, advancednetherite:axes/netherite_gold, minecraft:axes, tooltiprareness:epic_item"
"Unknown","advancednetherite:netherite_gold_boots",1866,"Netherite-Gold Boots",533,"c:armor, c:armors, bookshelf:armor, galosphere:preservable_items, tooltiprareness:epic_item, c:boots, bookshelf:boots, advancednetherite:tiers/armor, advancednetherite:config/pacify_piglins, advancednetherite:boots/upgrade_to_netherite_emerald, minecraft:piglin_loved, advancednetherite:tiers/armor/netherite_gold, minecraft:trimmable_armor, advancednetherite:boots/netherite_gold"
"Unknown","advancednetherite:netherite_gold_chestplate",1864,"Netherite-Gold Chestplate",656,"c:armor, c:armors, bookshelf:armor, c:chestplates, galosphere:preservable_items, tooltiprareness:epic_item, advancednetherite:chestplates/netherite_gold, bookshelf:chestplates, advancednetherite:tiers/armor, advancednetherite:chestplates/upgrade_to_netherite_emerald, advancednetherite:config/pacify_piglins, minecraft:piglin_loved, advancednetherite:tiers/armor/netherite_gold, minecraft:trimmable_armor"
"Unknown","advancednetherite:netherite_gold_helmet",1863,"Netherite-Gold Helmet",451,"c:armor, c:armors, bookshelf:armor, advancednetherite:helmets/upgrade_to_netherite_emerald, galosphere:preservable_items, tooltiprareness:epic_item, bookshelf:helmets, advancednetherite:tiers/armor, advancednetherite:config/pacify_piglins, advancednetherite:helmets/netherite_gold, minecraft:piglin_loved, advancednetherite:tiers/armor/netherite_gold, minecraft:trimmable_armor, c:helmets"
"Unknown","advancednetherite:netherite_gold_hoe",1880,"Netherite-Gold Hoe",2313,"minecraft:tools, advancednetherite:tiers/tools, galosphere:preservable_items, advancednetherite:hoes/netherite_gold, minecraft:piglin_loved, galosphere:weapon_racks_can_hold, advancednetherite:tiers/tools/netherite_gold, tooltiprareness:epic_item, advancednetherite:hoes/upgrade_to_netherite_emerald, minecraft:breaks_decorated_pots, minecraft:hoes"
"Unknown","advancednetherite:netherite_gold_leggings",1865,"Netherite-Gold Leggings",615,"c:armor, c:armors, bookshelf:armor, galosphere:preservable_items, advancednetherite:leggings/netherite_gold, tooltiprareness:epic_item, advancednetherite:leggings/upgrade_to_netherite_emerald, c:leggings, bookshelf:leggings, advancednetherite:tiers/armor, advancednetherite:config/pacify_piglins, minecraft:piglin_loved, advancednetherite:tiers/armor/netherite_gold, minecraft:trimmable_armor"
