"Registry name","Map color (hex)","Map color (int)"
"ae2:sky_stone_slab","#707070","7368816"
"ae2:sky_stone_small_brick","#707070","7368816"
"ae2:sky_stone_small_brick_slab","#707070","7368816"
"ae2:sky_stone_small_brick_stairs","#707070","7368816"
"ae2:sky_stone_small_brick_wall","#707070","7368816"
"ae2:sky_stone_stairs","#707070","7368816"
"ae2:sky_stone_tank","#707070","7368816"
"ae2:sky_stone_wall","#707070","7368816"
"ae2:small_quartz_bud","#4C7F99","5013401"
"ae2:smooth_quartz_block","#707070","7368816"
"ae2:smooth_quartz_slab","#707070","7368816"
"ae2:smooth_quartz_stairs","#707070","7368816"
"ae2:smooth_quartz_wall","#707070","7368816"
"ae2:smooth_sky_stone_block","#707070","7368816"
"ae2:smooth_sky_stone_chest","#707070","7368816"
"ae2:smooth_sky_stone_slab","#707070","7368816"
"ae2:smooth_sky_stone_stairs","#707070","7368816"
"ae2:smooth_sky_stone_wall","#707070","7368816"
"ae2:spatial_anchor","#A7A7A7","10987431"
"ae2:spatial_io_port","#A7A7A7","10987431"
"ae2:spatial_pylon","#000000","0"
"ae2:tiny_tnt","#FF0000","16711680"
"ae2:vibration_chamber","#A7A7A7","10987431"
"ae2:wireless_access_point","#000000","0"
"amendments:carpet_slab","#8F7748","9402184"
"amendments:carpet_stairs","#8F7748","9402184"
"amendments:ceiling_banner_black","#191919","1644825"
"amendments:ceiling_banner_blue","#334CB2","3361970"
"amendments:ceiling_banner_brown","#664C33","6704179"
"amendments:ceiling_banner_cyan","#4C7F99","5013401"
"amendments:ceiling_banner_gray","#4C4C4C","5000268"
"amendments:ceiling_banner_green","#667F33","6717235"
"amendments:ceiling_banner_light_blue","#6699D8","6724056"
"amendments:ceiling_banner_light_gray","#999999","10066329"
"amendments:ceiling_banner_lime","#7FCC19","8375321"
"amendments:ceiling_banner_magenta","#B24CD8","11685080"
"amendments:ceiling_banner_orange","#D87F33","14188339"
"amendments:ceiling_banner_pink","#F27FA5","15892389"
"amendments:ceiling_banner_purple","#7F3FB2","8339378"
"amendments:ceiling_banner_red","#993333","10040115"
"amendments:ceiling_banner_white","#FFFFFF","16777215"
"amendments:ceiling_banner_yellow","#E5E533","15066419"
"amendments:directional_cake","#000000","0"
"amendments:double_cake","#000000","0"
"amendments:dye_cauldron","#707070","7368816"
"amendments:hanging_flower_pot","#000000","0"
"amendments:liquid_cauldron","#707070","7368816"
"amendments:skull_candle","#000000","0"
"amendments:skull_candle_soul","#000000","0"
"amendments:skull_candle_soul_wall","#000000","0"
"amendments:skull_candle_wall","#000000","0"
"amendments:skull_pile","#000000","0"
"amendments:tool_hook","#000000","0"
"amendments:wall_lantern","#A7A7A7","10987431"
"amendments:water_lily_pad","#007C00","31744"
"azurelib:lightblock","#000000","0"
"bakery:apple_cupcake_block","#000000","0"
"bakery:apple_jam","#000000","0"
"bakery:apple_pie","#000000","0"
"bakery:baguette_block","#000000","0"
"bakery:baker_station","#993333","10040115"
"bakery:bakery_banner","#000000","0"
"bakery:bakery_wall_banner","#000000","0"
"bakery:blank_cake","#000000","0"
"bakery:braided_bread_block","#000000","0"
"bakery:bread_block","#000000","0"
"bakery:bread_crate","#8F7748","9402184"
"bakery:breadbox","#8F7748","9402184"
"bakery:brick_counter","#993333","10040115"
"bakery:bun_block","#000000","0"
"bakery:bundt_cake","#000000","0"
"bakery:cabinet","#000000","0"
"bakery:cake_display","#000000","0"
"bakery:cake_stand","#000000","0"
"bakery:chocolate_box","#000000","0"
"bakery:chocolate_cake","#000000","0"
"bakery:chocolate_cookie_block","#000000","0"
"bakery:chocolate_gateau","#000000","0"
"bakery:chocolate_jam","#000000","0"
"bakery:chocolate_tart","#000000","0"
"bakery:crusty_bread_block","#000000","0"
"bakery:cupcake_display","#000000","0"
"bakery:drawer","#000000","0"
"bakery:glowberry_jam","#000000","0"
"bakery:glowberry_tart","#000000","0"
"bakery:iron_bench","#A7A7A7","10987431"
"bakery:iron_chair","#A7A7A7","10987431"
"bakery:iron_table","#A7A7A7","10987431"
"bakery:jar","#000000","0"
"bakery:kitchen_sink","#993333","10040115"
"bakery:linzer_tart","#000000","0"
"bakery:pudding","#000000","0"
"bakery:small_cooking_pot","#A7A7A7","10987431"
"bakery:strawberry_cake","#000000","0"
"bakery:strawberry_cookie_block","#000000","0"
"bakery:strawberry_cupcake_block","#000000","0"
"bakery:strawberry_jam","#000000","0"
"bakery:street_sign","#8F7748","9402184"
"bakery:sweetberry_cake","#000000","0"
"bakery:sweetberry_cookie_block","#000000","0"
"bakery:sweetberry_cupcake_block","#000000","0"
"bakery:sweetberry_jam","#000000","0"
"bakery:toast_block","#000000","0"
"bakery:tray","#8F7748","9402184"
"bakery:waffle_block","#000000","0"
"bakery:wall_cabinet","#000000","0"
"bakery:wall_display","#8F7748","9402184"
"beautify:acacia_blinds","#8F7748","9402184"
"beautify:acacia_picture_frame","#8F7748","9402184"
"beautify:acacia_trellis","#8F7748","9402184"
"beautify:birch_blinds","#8F7748","9402184"
"beautify:birch_picture_frame","#8F7748","9402184"
"beautify:birch_trellis","#8F7748","9402184"
"beautify:bookstack","#000000","0"
"beautify:botanist_workbench","#8F7748","9402184"
"beautify:cherry_blinds","#8F7748","9402184"
"beautify:cherry_picture_frame","#8F7748","9402184"
"beautify:cherry_trellis","#8F7748","9402184"
"beautify:crimson_blinds","#8F7748","9402184"
"beautify:crimson_picture_frame","#8F7748","9402184"
"beautify:crimson_trellis","#8F7748","9402184"
"beautify:dark_oak_blinds","#8F7748","9402184"
"beautify:dark_oak_picture_frame","#8F7748","9402184"
"beautify:dark_oak_trellis","#8F7748","9402184"
"beautify:hanging_pot","#4C3223","4993571"
"beautify:iron_blinds","#A7A7A7","10987431"
"beautify:jungle_blinds","#8F7748","9402184"
"beautify:jungle_picture_frame","#8F7748","9402184"
"beautify:jungle_trellis","#8F7748","9402184"
"beautify:lamp_bamboo","#8F7748","9402184"
"beautify:lamp_candelabra","#A7A7A7","10987431"
"beautify:lamp_candelabra_black","#A7A7A7","10987431"
"beautify:lamp_candelabra_blue","#A7A7A7","10987431"
"beautify:lamp_candelabra_brown","#A7A7A7","10987431"
"beautify:lamp_candelabra_cyan","#A7A7A7","10987431"
"beautify:lamp_candelabra_gray","#A7A7A7","10987431"
"beautify:lamp_candelabra_green","#A7A7A7","10987431"
"beautify:lamp_candelabra_light_blue","#A7A7A7","10987431"
"beautify:lamp_candelabra_light_gray","#A7A7A7","10987431"
"beautify:lamp_candelabra_lime","#A7A7A7","10987431"
"beautify:lamp_candelabra_magenta","#A7A7A7","10987431"
"beautify:lamp_candelabra_orange","#A7A7A7","10987431"
"beautify:lamp_candelabra_pink","#A7A7A7","10987431"
"beautify:lamp_candelabra_purple","#A7A7A7","10987431"
"beautify:lamp_candelabra_red","#A7A7A7","10987431"
"beautify:lamp_candelabra_white","#A7A7A7","10987431"
"beautify:lamp_candelabra_yellow","#A7A7A7","10987431"
"beautify:lamp_jar","#000000","0"
"beautify:lamp_light_bulb","#A7A7A7","10987431"
"beautify:mangrove_blinds","#8F7748","9402184"
"beautify:mangrove_picture_frame","#8F7748","9402184"
"beautify:mangrove_trellis","#8F7748","9402184"
"beautify:oak_blinds","#8F7748","9402184"
"beautify:oak_picture_frame","#8F7748","9402184"
"beautify:oak_trellis","#8F7748","9402184"
"beautify:quartz_picture_frame","#FFFCF5","16776437"
"beautify:rope","#000000","0"
"beautify:spruce_blinds","#8F7748","9402184"
"beautify:spruce_picture_frame","#8F7748","9402184"
"beautify:spruce_trellis","#8F7748","9402184"
"beautify:warped_blinds","#8F7748","9402184"
"beautify:warped_picture_frame","#8F7748","9402184"
"beautify:warped_trellis","#8F7748","9402184"
"betterend:aeridium","#D87F33","14188339"
"betterend:aeternium_anvil","#4C4C4C","5000268"
"betterend:aeternium_block","#4C4C4C","5000268"
"betterend:amaranita_cap","#8F7748","9402184"
"betterend:amaranita_fur","#4C7F99","5013401"
"betterend:amaranita_hymenophore","#8F7748","9402184"
"betterend:amaranita_hyphae","#7FCC19","8375321"
"betterend:amaranita_lantern","#000000","0"
"betterend:amaranita_stem","#7FCC19","8375321"
"betterend:amber_block","#E5E533","15066419"
"betterend:amber_grass","#D87F33","14188339"
"betterend:amber_moss","#D87F33","14188339"
"betterend:amber_moss_path","#D87F33","14188339"
"betterend:amber_ore","#F7E9A3","16247203"
"betterend:amber_root_seed","#007C00","31744"
"betterend:ancient_emerald_ice","#A0A0FF","10526975"
"betterend:andesite_lantern","#707070","7368816"
"betterend:andesite_pedestal","#707070","7368816"
"betterend:aurant_polypore","#007C00","31744"
"betterend:aurora_crystal","#000000","0"
"betterend:azure_jadestone","#6699D8","6724056"
"betterend:azure_jadestone_bricks","#6699D8","6724056"
"betterend:azure_jadestone_bricks_slab","#6699D8","6724056"
"betterend:azure_jadestone_bricks_stairs","#6699D8","6724056"
"betterend:azure_jadestone_bricks_wall","#6699D8","6724056"
"betterend:azure_jadestone_button","#6699D8","6724056"
"betterend:azure_jadestone_flower_pot","#6699D8","6724056"
"betterend:azure_jadestone_furnace","#6699D8","6724056"
"betterend:azure_jadestone_lantern","#6699D8","6724056"
"betterend:azure_jadestone_pedestal","#6699D8","6724056"
"betterend:azure_jadestone_pillar","#6699D8","6724056"
"betterend:azure_jadestone_plate","#6699D8","6724056"
"betterend:azure_jadestone_polished","#6699D8","6724056"
"betterend:azure_jadestone_slab","#6699D8","6724056"
"betterend:azure_jadestone_stairs","#6699D8","6724056"
"betterend:azure_jadestone_tiles","#6699D8","6724056"
"betterend:azure_jadestone_wall","#6699D8","6724056"
"betterend:blackstone_lantern","#191919","1644825"
"betterend:blooming_cooksonia","#4C7F99","5013401"
"betterend:blossom_berry_seed","#007C00","31744"
"betterend:blue_vine","#007C00","31744"
"betterend:blue_vine_fur","#334CB2","3361970"
"betterend:blue_vine_lantern","#000000","0"
"betterend:blue_vine_seed","#334CB2","3361970"
"betterend:bolux_mushroom","#D87F33","14188339"
"betterend:brimstone","#664C33","6704179"
"betterend:bubble_coral","#4040FF","4210943"
"betterend:budding_smaragdant_crystal","#000000","0"
"betterend:bulb_moss","#9F5224","10441252"
"betterend:bulb_vine","#007C00","31744"
"betterend:bulb_vine_seed","#7F3FB2","8339378"
"betterend:bushy_grass","#F27FA5","15892389"
"betterend:cave_bush","#B24CD8","11685080"
"betterend:cave_grass","#7F3FB2","8339378"
"betterend:cave_moss","#7F3FB2","8339378"
"betterend:cave_moss_path","#7F3FB2","8339378"
"betterend:cave_pumpkin","#D87F33","14188339"
"betterend:cave_pumpkin_seed","#9F5224","10441252"
"betterend:charcoal_block","#191919","1644825"
"betterend:charnia_cyan","#4040FF","4210943"
"betterend:charnia_green","#4040FF","4210943"
"betterend:charnia_light_blue","#4040FF","4210943"
"betterend:charnia_orange","#4040FF","4210943"
"betterend:charnia_purple","#4040FF","4210943"
"betterend:charnia_red","#4040FF","4210943"
"betterend:chorus_grass","#7F3FB2","8339378"
"betterend:chorus_mushroom_seed","#007C00","31744"
"betterend:chorus_nylium","#B24CD8","11685080"
"betterend:chorus_nylium_path","#B24CD8","11685080"
"betterend:clawfern","#993333","10040115"
"betterend:creeping_moss","#6699D8","6724056"
"betterend:crystal_grass","#4C7F99","5013401"
"betterend:crystal_moss","#4C7F99","5013401"
"betterend:crystal_moss_cover","#F27FA5","15892389"
"betterend:crystal_moss_path","#4C7F99","5013401"
"betterend:cyan_moss","#4C7F99","5013401"
"betterend:dense_emerald_ice","#A0A0FF","10526975"
"betterend:dense_snow","#FFFFFF","16777215"
"betterend:dense_vine","#007C00","31744"
"betterend:diorite_lantern","#FFFCF5","16776437"
"betterend:diorite_pedestal","#FFFCF5","16776437"
"betterend:dragon_bone_block","#F7E9A3","16247203"
"betterend:dragon_bone_slab","#F7E9A3","16247203"
"betterend:dragon_bone_stairs","#F7E9A3","16247203"
"betterend:dragon_tree_bar_stool","#B24CD8","11685080"
"betterend:dragon_tree_bark","#191919","1644825"
"betterend:dragon_tree_barrel","#B24CD8","11685080"
"betterend:dragon_tree_bookshelf","#B24CD8","11685080"
"betterend:dragon_tree_button","#B24CD8","11685080"
"betterend:dragon_tree_chair","#B24CD8","11685080"
"betterend:dragon_tree_chest","#B24CD8","11685080"
"betterend:dragon_tree_composter","#B24CD8","11685080"
"betterend:dragon_tree_crafting_table","#B24CD8","11685080"
"betterend:dragon_tree_door","#B24CD8","11685080"
"betterend:dragon_tree_fence","#B24CD8","11685080"
"betterend:dragon_tree_gate","#B24CD8","11685080"
"betterend:dragon_tree_hanging_sign","#B24CD8","11685080"
"betterend:dragon_tree_ladder","#B24CD8","11685080"
"betterend:dragon_tree_leaves","#B24CD8","11685080"
"betterend:dragon_tree_log","#191919","1644825"
"betterend:dragon_tree_planks","#B24CD8","11685080"
"betterend:dragon_tree_plate","#B24CD8","11685080"
"betterend:dragon_tree_sapling","#007C00","31744"
"betterend:dragon_tree_sign","#B24CD8","11685080"
"betterend:dragon_tree_slab","#B24CD8","11685080"
"betterend:dragon_tree_stairs","#B24CD8","11685080"
"betterend:dragon_tree_stripped_bark","#B24CD8","11685080"
"betterend:dragon_tree_stripped_log","#B24CD8","11685080"
"betterend:dragon_tree_taburet","#B24CD8","11685080"
"betterend:dragon_tree_trapdoor","#B24CD8","11685080"
"betterend:dragon_tree_wall","#B24CD8","11685080"
"betterend:dragon_tree_wall_hanging_sign","#B24CD8","11685080"
"betterend:dragon_tree_wall_sign","#B24CD8","11685080"
"betterend:emerald_ice","#A0A0FF","10526975"
"betterend:end_lily","#4040FF","4210943"
"betterend:end_lily_seed","#4040FF","4210943"
"betterend:end_lotus_bar_stool","#4C7F99","5013401"
"betterend:end_lotus_bark","#6699D8","6724056"
"betterend:end_lotus_barrel","#4C7F99","5013401"
"betterend:end_lotus_bookshelf","#4C7F99","5013401"
"betterend:end_lotus_button","#4C7F99","5013401"
"betterend:end_lotus_chair","#4C7F99","5013401"
"betterend:end_lotus_chest","#4C7F99","5013401"
"betterend:end_lotus_composter","#4C7F99","5013401"
"betterend:end_lotus_crafting_table","#4C7F99","5013401"
"betterend:end_lotus_door","#4C7F99","5013401"
"betterend:end_lotus_fence","#4C7F99","5013401"
"betterend:end_lotus_flower","#F27FA5","15892389"
"betterend:end_lotus_gate","#4C7F99","5013401"
"betterend:end_lotus_hanging_sign","#4C7F99","5013401"
"betterend:end_lotus_ladder","#4C7F99","5013401"
"betterend:end_lotus_leaf","#F27FA5","15892389"
"betterend:end_lotus_log","#6699D8","6724056"
"betterend:end_lotus_planks","#4C7F99","5013401"
"betterend:end_lotus_plate","#4C7F99","5013401"
"betterend:end_lotus_seed","#4040FF","4210943"
"betterend:end_lotus_sign","#4C7F99","5013401"
"betterend:end_lotus_slab","#4C7F99","5013401"
"betterend:end_lotus_stairs","#4C7F99","5013401"
"betterend:end_lotus_stem","#8F7748","9402184"
"betterend:end_lotus_stripped_bark","#4C7F99","5013401"
"betterend:end_lotus_stripped_log","#4C7F99","5013401"
"betterend:end_lotus_taburet","#4C7F99","5013401"
"betterend:end_lotus_trapdoor","#4C7F99","5013401"
"betterend:end_lotus_wall","#4C7F99","5013401"
"betterend:end_lotus_wall_hanging_sign","#4C7F99","5013401"
"betterend:end_lotus_wall_sign","#4C7F99","5013401"
"betterend:end_moss","#4C7F99","5013401"
"betterend:end_moss_path","#4C7F99","5013401"
"betterend:end_mycelium","#6699D8","6724056"
"betterend:end_mycelium_path","#6699D8","6724056"
"betterend:end_portal_block","#000000","0"
"betterend:end_stone_brick_cracked","#F7E9A3","16247203"
"betterend:end_stone_brick_cracked_slab","#F7E9A3","16247203"
"betterend:end_stone_brick_cracked_stairs","#F7E9A3","16247203"
"betterend:end_stone_brick_cracked_wall","#F7E9A3","16247203"
"betterend:end_stone_brick_weathered","#F7E9A3","16247203"
"betterend:end_stone_brick_weathered_slab","#F7E9A3","16247203"
"betterend:end_stone_brick_weathered_stairs","#F7E9A3","16247203"
"betterend:end_stone_brick_weathered_wall","#F7E9A3","16247203"
"betterend:end_stone_furnace","#F7E9A3","16247203"
"betterend:end_stone_lantern","#F7E9A3","16247203"
"betterend:end_stone_smelter","#E5E533","15066419"
"betterend:end_stone_stalactite","#F7E9A3","16247203"
"betterend:end_stone_stalactite_cavemoss","#7F3FB2","8339378"
"betterend:ender_block","#14B485","1356933"
"betterend:ender_ore","#F7E9A3","16247203"
"betterend:endstone_dust","#F7E9A3","16247203"
"betterend:endstone_flower_pot","#F7E9A3","16247203"
"betterend:eternal_pedestal","#F7E9A3","16247203"
"betterend:filalux","#007C00","31744"
"betterend:filalux_lantern","#000000","0"
"betterend:filalux_wings","#993333","10040115"
"betterend:flamaea","#D87F33","14188339"
"betterend:flammalix","#D87F33","14188339"
"betterend:flavolite","#F7E9A3","16247203"
"betterend:flavolite_bricks","#F7E9A3","16247203"
"betterend:flavolite_bricks_slab","#F7E9A3","16247203"
"betterend:flavolite_bricks_stairs","#F7E9A3","16247203"
"betterend:flavolite_bricks_wall","#F7E9A3","16247203"
"betterend:flavolite_button","#F7E9A3","16247203"
"betterend:flavolite_flower_pot","#F7E9A3","16247203"
"betterend:flavolite_furnace","#F7E9A3","16247203"
"betterend:flavolite_lantern","#F7E9A3","16247203"
"betterend:flavolite_pedestal","#F7E9A3","16247203"
"betterend:flavolite_pillar","#F7E9A3","16247203"
"betterend:flavolite_plate","#F7E9A3","16247203"
"betterend:flavolite_polished","#F7E9A3","16247203"
"betterend:flavolite_runed","#F7E9A3","16247203"
"betterend:flavolite_runed_eternal","#F7E9A3","16247203"
"betterend:flavolite_slab","#F7E9A3","16247203"
"betterend:flavolite_stairs","#F7E9A3","16247203"
"betterend:flavolite_tiles","#F7E9A3","16247203"
"betterend:flavolite_wall","#F7E9A3","16247203"
"betterend:fracturn","#4C7F99","5013401"
"betterend:globulagus","#993333","10040115"
"betterend:glowing_pillar_leaves","#D87F33","14188339"
"betterend:glowing_pillar_luminophor","#D87F33","14188339"
"betterend:glowing_pillar_roots","#007C00","31744"
"betterend:glowing_pillar_seed","#D87F33","14188339"
"betterend:gold_chandelier","#FAEE4D","16445005"
"betterend:granite_lantern","#976D4D","9923917"
"betterend:granite_pedestal","#976D4D","9923917"
"betterend:helix_tree_bar_stool","#D87F33","14188339"
"betterend:helix_tree_bark","#4C4C4C","5000268"
"betterend:helix_tree_barrel","#D87F33","14188339"
"betterend:helix_tree_bookshelf","#D87F33","14188339"
"betterend:helix_tree_button","#D87F33","14188339"
"betterend:helix_tree_chair","#D87F33","14188339"
"betterend:helix_tree_chest","#D87F33","14188339"
"betterend:helix_tree_composter","#D87F33","14188339"
"betterend:helix_tree_crafting_table","#D87F33","14188339"
"betterend:helix_tree_door","#D87F33","14188339"
"betterend:helix_tree_fence","#D87F33","14188339"
"betterend:helix_tree_gate","#D87F33","14188339"
"betterend:helix_tree_hanging_sign","#D87F33","14188339"
"betterend:helix_tree_ladder","#D87F33","14188339"
"betterend:helix_tree_leaves","#D87F33","14188339"
"betterend:helix_tree_log","#4C4C4C","5000268"
"betterend:helix_tree_planks","#D87F33","14188339"
"betterend:helix_tree_plate","#D87F33","14188339"
"betterend:helix_tree_sapling","#007C00","31744"
"betterend:helix_tree_sign","#D87F33","14188339"
"betterend:helix_tree_slab","#D87F33","14188339"
"betterend:helix_tree_stairs","#D87F33","14188339"
"betterend:helix_tree_stripped_bark","#D87F33","14188339"
"betterend:helix_tree_stripped_log","#D87F33","14188339"
"betterend:helix_tree_taburet","#D87F33","14188339"
"betterend:helix_tree_trapdoor","#D87F33","14188339"
"betterend:helix_tree_wall","#D87F33","14188339"
"betterend:helix_tree_wall_hanging_sign","#D87F33","14188339"
"betterend:helix_tree_wall_sign","#D87F33","14188339"
"betterend:hydralux","#4040FF","4210943"
"betterend:hydralux_petal_block","#815631","8476209"
"betterend:hydralux_petal_block_black","#191919","1644825"
"betterend:hydralux_petal_block_blue","#191919","1644825"
"betterend:hydralux_petal_block_brown","#191919","1644825"
"betterend:hydralux_petal_block_cyan","#191919","1644825"
"betterend:hydralux_petal_block_gray","#191919","1644825"
"betterend:hydralux_petal_block_green","#191919","1644825"
"betterend:hydralux_petal_block_light_blue","#191919","1644825"
"betterend:hydralux_petal_block_light_gray","#191919","1644825"
"betterend:hydralux_petal_block_lime","#191919","1644825"
"betterend:hydralux_petal_block_magenta","#191919","1644825"
"betterend:hydralux_petal_block_orange","#191919","1644825"
"betterend:hydralux_petal_block_pink","#191919","1644825"
"betterend:hydralux_petal_block_purple","#191919","1644825"
"betterend:hydralux_petal_block_red","#191919","1644825"
"betterend:hydralux_petal_block_white","#191919","1644825"
"betterend:hydralux_petal_block_yellow","#191919","1644825"
"betterend:hydralux_sapling","#4040FF","4210943"
"betterend:hydrothermal_vent","#707070","7368816"
"betterend:inflexia","#999999","10066329"
"betterend:infusion_pedestal","#191919","1644825"
"betterend:iron_bulb_lantern","#999999","10066329"
"betterend:iron_bulb_lantern_black","#191919","1644825"
"betterend:iron_bulb_lantern_blue","#191919","1644825"
"betterend:iron_bulb_lantern_brown","#191919","1644825"
"betterend:iron_bulb_lantern_cyan","#191919","1644825"
"betterend:iron_bulb_lantern_gray","#191919","1644825"
"betterend:iron_bulb_lantern_green","#191919","1644825"
"betterend:iron_bulb_lantern_light_blue","#191919","1644825"
"betterend:iron_bulb_lantern_light_gray","#191919","1644825"
"betterend:iron_bulb_lantern_lime","#191919","1644825"
"betterend:iron_bulb_lantern_magenta","#191919","1644825"
"betterend:iron_bulb_lantern_orange","#191919","1644825"
"betterend:iron_bulb_lantern_pink","#191919","1644825"
"betterend:iron_bulb_lantern_purple","#191919","1644825"
"betterend:iron_bulb_lantern_red","#191919","1644825"
"betterend:iron_bulb_lantern_white","#191919","1644825"
"betterend:iron_bulb_lantern_yellow","#191919","1644825"
"betterend:iron_chandelier","#FAEE4D","16445005"
"betterend:jellyshroom_bar_stool","#6699D8","6724056"
"betterend:jellyshroom_bark","#7F3FB2","8339378"
"betterend:jellyshroom_barrel","#6699D8","6724056"
"betterend:jellyshroom_bookshelf","#6699D8","6724056"
"betterend:jellyshroom_button","#6699D8","6724056"
"betterend:jellyshroom_cap_purple","#7FB238","8368696"
"betterend:jellyshroom_chair","#6699D8","6724056"
"betterend:jellyshroom_chest","#6699D8","6724056"
"betterend:jellyshroom_composter","#6699D8","6724056"
"betterend:jellyshroom_crafting_table","#6699D8","6724056"
"betterend:jellyshroom_door","#6699D8","6724056"
"betterend:jellyshroom_fence","#6699D8","6724056"
"betterend:jellyshroom_gate","#6699D8","6724056"
"betterend:jellyshroom_hanging_sign","#6699D8","6724056"
"betterend:jellyshroom_ladder","#6699D8","6724056"
"betterend:jellyshroom_log","#7F3FB2","8339378"
"betterend:jellyshroom_planks","#6699D8","6724056"
"betterend:jellyshroom_plate","#6699D8","6724056"
"betterend:jellyshroom_sign","#6699D8","6724056"
"betterend:jellyshroom_slab","#6699D8","6724056"
"betterend:jellyshroom_stairs","#6699D8","6724056"
"betterend:jellyshroom_stripped_bark","#6699D8","6724056"
"betterend:jellyshroom_stripped_log","#6699D8","6724056"
"betterend:jellyshroom_taburet","#6699D8","6724056"
"betterend:jellyshroom_trapdoor","#6699D8","6724056"
"betterend:jellyshroom_wall","#6699D8","6724056"
"betterend:jellyshroom_wall_hanging_sign","#6699D8","6724056"
"betterend:jellyshroom_wall_sign","#6699D8","6724056"
"betterend:jungle_fern","#667F33","6717235"
"betterend:jungle_grass","#667F33","6717235"
"betterend:jungle_moss","#667F33","6717235"
"betterend:jungle_moss_path","#667F33","6717235"
"betterend:jungle_vine","#007C00","31744"
"betterend:lacugrove_bar_stool","#E5E533","15066419"
"betterend:lacugrove_bark","#664C33","6704179"
"betterend:lacugrove_barrel","#E5E533","15066419"
