"ID","Name","Description","Parent"
"advancednetherite:recipes/misc/netherite_diamond_ingot_from_block","advancednetherite:recipes/misc/netherite_diamond_ingot_from_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_leggings_smithing","advancednetherite:recipes/misc/netherite_diamond_leggings_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_pickaxe_smithing","advancednetherite:recipes/misc/netherite_diamond_pickaxe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_shovel_smithing","advancednetherite:recipes/misc/netherite_diamond_shovel_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_sword_smithing","advancednetherite:recipes/misc/netherite_diamond_sword_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_axe_smithing","advancednetherite:recipes/misc/netherite_emerald_axe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_boots_smithing","advancednetherite:recipes/misc/netherite_emerald_boots_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_chestplate_smithing","advancednetherite:recipes/misc/netherite_emerald_chestplate_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_helmet_smithing","advancednetherite:recipes/misc/netherite_emerald_helmet_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_hoe_smithing","advancednetherite:recipes/misc/netherite_emerald_hoe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_ingot","advancednetherite:recipes/misc/netherite_emerald_ingot","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_ingot_from_block","advancednetherite:recipes/misc/netherite_emerald_ingot_from_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_leggings_smithing","advancednetherite:recipes/misc/netherite_emerald_leggings_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_pickaxe_smithing","advancednetherite:recipes/misc/netherite_emerald_pickaxe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_shovel_smithing","advancednetherite:recipes/misc/netherite_emerald_shovel_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_emerald_sword_smithing","advancednetherite:recipes/misc/netherite_emerald_sword_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_axe_smithing","advancednetherite:recipes/misc/netherite_gold_axe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_boots_smithing","advancednetherite:recipes/misc/netherite_gold_boots_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_chestplate_smithing","advancednetherite:recipes/misc/netherite_gold_chestplate_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_helmet_smithing","advancednetherite:recipes/misc/netherite_gold_helmet_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_hoe_smithing","advancednetherite:recipes/misc/netherite_gold_hoe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_ingot","advancednetherite:recipes/misc/netherite_gold_ingot","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_ingot_from_block","advancednetherite:recipes/misc/netherite_gold_ingot_from_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_leggings_smithing","advancednetherite:recipes/misc/netherite_gold_leggings_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_pickaxe_smithing","advancednetherite:recipes/misc/netherite_gold_pickaxe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_shovel_smithing","advancednetherite:recipes/misc/netherite_gold_shovel_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_gold_sword_smithing","advancednetherite:recipes/misc/netherite_gold_sword_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_axe_smithing","advancednetherite:recipes/misc/netherite_iron_axe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_boots_smithing","advancednetherite:recipes/misc/netherite_iron_boots_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_chestplate_smithing","advancednetherite:recipes/misc/netherite_iron_chestplate_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_helmet_smithing","advancednetherite:recipes/misc/netherite_iron_helmet_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_hoe_smithing","advancednetherite:recipes/misc/netherite_iron_hoe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_ingot","advancednetherite:recipes/misc/netherite_iron_ingot","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_ingot_from_block","advancednetherite:recipes/misc/netherite_iron_ingot_from_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_leggings_smithing","advancednetherite:recipes/misc/netherite_iron_leggings_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_pickaxe_smithing","advancednetherite:recipes/misc/netherite_iron_pickaxe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_shovel_smithing","advancednetherite:recipes/misc/netherite_iron_shovel_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_iron_sword_smithing","advancednetherite:recipes/misc/netherite_iron_sword_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/netherite_diamond_block","advancednetherite:recipes/netherite_diamond_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/netherite_emerald_block","advancednetherite:recipes/netherite_emerald_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/netherite_gold_block","advancednetherite:recipes/netherite_gold_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/netherite_ingots","advancednetherite:recipes/netherite_ingots","<null>","minecraft:recipes/root"
"advancednetherite:recipes/netherite_iron_block","advancednetherite:recipes/netherite_iron_block","<null>","minecraft:recipes/root"
"ae2:main/charged_quartz","[Shocking]","Charge Quartz with a Charger","ae2:main/charger"
"ae2:main/charger","[It's Chargin' Time !]","Craft a Charger","ae2:main/root"
"ae2:main/compass","[Meteorite Hunter]","Craft a Meteorite Compass","ae2:main/charger"
"ae2:main/controller","[Networking Switchboard]","Craft a Controller","ae2:main/presses"
"ae2:main/crafting_cpu","[Next Gen Crafting]","Craft a Crafting Unit","ae2:main/pattern_encoding_terminal"
"ae2:main/crafting_terminal","[A (Much) Bigger Table]","Craft a Crafting Terminal","ae2:main/controller"
"ae2:main/facade","[Network Aesthetics]","Craft a Cable Facade","ae2:main/glass_cable"
"ae2:main/fluix","[Unnatural]","Create Fluix Crystals","ae2:main/charged_quartz"
"ae2:main/glass_cable","[Fluix Energy Connection]","Craft ME Glass Cable","ae2:main/fluix"
"ae2:main/growth_accelerator","[Accelerator is an understatement]","Craft a Crystal Growth Accelerator","ae2:main/fluix"
"ae2:main/ioport","[Storage Cell Shuffle]","Craft an IO Port","ae2:main/storage_cell"
"ae2:main/network1","[Network Apprentice]","Reach 8 channels using devices on a network.","ae2:main/glass_cable"
"ae2:main/network2","[Network Engineer]","Reach 128 channels using devices on a network.","ae2:main/network1"
"ae2:main/network3","[Network Administrator]","Reach 2048 channels using devices on a network.","ae2:main/network2"
"ae2:main/network_tool","[Network Diagnostics]","Craft a Network Tool","ae2:main/controller"
"ae2:main/p2p","[Point to Point Networking]","Craft a P2P Tunnel","ae2:main/glass_cable"
"ae2:main/pattern_encoding_terminal","[Crafting Maestro]","Craft a Pattern Encoding Terminal","ae2:main/crafting_terminal"
"ae2:main/portable_cell","[Storage Nomad]","Craft a Portable Cell","ae2:main/storage_cell"
"ae2:main/presses","[Unknown Technology]","Find all Processor Presses","ae2:main/root"
"ae2:main/qnb","[Quantum Tunneling]","Craft a Quantum Link","ae2:main/p2p"
"ae2:main/recursive","[Recursive Networking]","Place a Storage Bus on an Interface.","ae2:main/storage_bus"
"ae2:main/root","[Applied Energistics]","When a chest is simply not enough. Acquire Copper to start your AE2 adventure.","-"
"ae2:main/spatial_explorer","[To boldly go]","Get stored in a spatial storage cell","ae2:main/spatial_ioport"
"ae2:main/spatial_ioport","[Spatial Coordination]","Craft a Spatial IO Port","ae2:main/ioport"
"ae2:main/storage_bus","[Limitless Potential]","Craft a Storage Bus","ae2:main/glass_cable"
"ae2:main/storage_cell","[Better Than Chests]","Craft a Storage Cell","ae2:main/controller"
"ae2:recipes/misc/blasting/silicon_from_certus_quartz_dust","ae2:recipes/misc/blasting/silicon_from_certus_quartz_dust","<null>","minecraft:recipes/root"
"ae2:recipes/misc/blasting/sky_stone_block","ae2:recipes/misc/blasting/sky_stone_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/chiseled_quartz_slab","ae2:recipes/misc/block_cutter/slabs/chiseled_quartz_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/cut_quartz_slab","ae2:recipes/misc/block_cutter/slabs/cut_quartz_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/fluix_slab","ae2:recipes/misc/block_cutter/slabs/fluix_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/quartz_brick_slab","ae2:recipes/misc/block_cutter/slabs/quartz_brick_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/quartz_pillar_slab","ae2:recipes/misc/block_cutter/slabs/quartz_pillar_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/quartz_slab","ae2:recipes/misc/block_cutter/slabs/quartz_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/sky_stone_brick_slab","ae2:recipes/misc/block_cutter/slabs/sky_stone_brick_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/sky_stone_slab","ae2:recipes/misc/block_cutter/slabs/sky_stone_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/sky_stone_small_brick_slab","ae2:recipes/misc/block_cutter/slabs/sky_stone_small_brick_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/smooth_quartz_slab","ae2:recipes/misc/block_cutter/slabs/smooth_quartz_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/slabs/smooth_sky_stone_slab","ae2:recipes/misc/block_cutter/slabs/smooth_sky_stone_slab","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/chiseled_quartz_stairs","ae2:recipes/misc/block_cutter/stairs/chiseled_quartz_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/cut_quartz_stairs","ae2:recipes/misc/block_cutter/stairs/cut_quartz_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/fluix_stairs","ae2:recipes/misc/block_cutter/stairs/fluix_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/quartz_brick_stairs","ae2:recipes/misc/block_cutter/stairs/quartz_brick_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/quartz_pillar_stairs","ae2:recipes/misc/block_cutter/stairs/quartz_pillar_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/quartz_stairs","ae2:recipes/misc/block_cutter/stairs/quartz_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/sky_stone_brick_stairs","ae2:recipes/misc/block_cutter/stairs/sky_stone_brick_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/sky_stone_small_brick_stairs","ae2:recipes/misc/block_cutter/stairs/sky_stone_small_brick_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/sky_stone_stairs","ae2:recipes/misc/block_cutter/stairs/sky_stone_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/smooth_quartz_stairs","ae2:recipes/misc/block_cutter/stairs/smooth_quartz_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/stairs/smooth_sky_stone_stairs","ae2:recipes/misc/block_cutter/stairs/smooth_sky_stone_stairs","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/chiseled_quartz_wall","ae2:recipes/misc/block_cutter/walls/chiseled_quartz_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/cut_quartz_wall","ae2:recipes/misc/block_cutter/walls/cut_quartz_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/fluix_wall","ae2:recipes/misc/block_cutter/walls/fluix_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/quartz_brick_wall","ae2:recipes/misc/block_cutter/walls/quartz_brick_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/quartz_pillar_wall","ae2:recipes/misc/block_cutter/walls/quartz_pillar_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/quartz_wall","ae2:recipes/misc/block_cutter/walls/quartz_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/sky_stone_brick_wall","ae2:recipes/misc/block_cutter/walls/sky_stone_brick_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/sky_stone_small_brick_wall","ae2:recipes/misc/block_cutter/walls/sky_stone_small_brick_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/sky_stone_wall","ae2:recipes/misc/block_cutter/walls/sky_stone_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/smooth_quartz_wall","ae2:recipes/misc/block_cutter/walls/smooth_quartz_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/block_cutter/walls/smooth_sky_stone_wall","ae2:recipes/misc/block_cutter/walls/smooth_sky_stone_wall","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/certus_quartz_bricks","ae2:recipes/misc/decorative/certus_quartz_bricks","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/certus_quartz_bricks_from_stonecutting","ae2:recipes/misc/decorative/certus_quartz_bricks_from_stonecutting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/certus_quartz_pillar","ae2:recipes/misc/decorative/certus_quartz_pillar","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/certus_quartz_pillar_from_stonecutting","ae2:recipes/misc/decorative/certus_quartz_pillar_from_stonecutting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/chiseled_quartz_block","ae2:recipes/misc/decorative/chiseled_quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/chiseled_quartz_block_from_stonecutting","ae2:recipes/misc/decorative/chiseled_quartz_block_from_stonecutting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/cut_quartz_block","ae2:recipes/misc/decorative/cut_quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/cut_quartz_block_from_stonecutting","ae2:recipes/misc/decorative/cut_quartz_block_from_stonecutting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/fluix_block","ae2:recipes/misc/decorative/fluix_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/light_detector","ae2:recipes/misc/decorative/light_detector","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/quartz_block","ae2:recipes/misc/decorative/quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/quartz_fixture","ae2:recipes/misc/decorative/quartz_fixture","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/quartz_fixture_from_anchors","ae2:recipes/misc/decorative/quartz_fixture_from_anchors","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/quartz_glass","ae2:recipes/misc/decorative/quartz_glass","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/quartz_vibrant_glass","ae2:recipes/misc/decorative/quartz_vibrant_glass","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/sky_stone_brick","ae2:recipes/misc/decorative/sky_stone_brick","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/sky_stone_brick_from_stonecutting","ae2:recipes/misc/decorative/sky_stone_brick_from_stonecutting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/sky_stone_small_brick","ae2:recipes/misc/decorative/sky_stone_small_brick","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/sky_stone_small_brick_from_stonecutting","ae2:recipes/misc/decorative/sky_stone_small_brick_from_stonecutting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/decorative/smooth_quartz_block","ae2:recipes/misc/decorative/smooth_quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/advancedcard","ae2:recipes/misc/materials/advancedcard","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/annihilationcore","ae2:recipes/misc/materials/annihilationcore","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/basiccard","ae2:recipes/misc/materials/basiccard","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardcapacity","ae2:recipes/misc/materials/cardcapacity","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardcrafting","ae2:recipes/misc/materials/cardcrafting","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/carddistribution","ae2:recipes/misc/materials/carddistribution","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardenergy","ae2:recipes/misc/materials/cardenergy","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardfuzzy","ae2:recipes/misc/materials/cardfuzzy","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardinverter","ae2:recipes/misc/materials/cardinverter","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardredstone","ae2:recipes/misc/materials/cardredstone","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardspeed","ae2:recipes/misc/materials/cardspeed","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/cardvoid","ae2:recipes/misc/materials/cardvoid","<null>","minecraft:recipes/root"
"ae2:recipes/misc/materials/formationcore","ae2:recipes/misc/materials/formationcore","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/chests_sky_stone","ae2:recipes/misc/misc/chests_sky_stone","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/chests_smooth_sky_stone","ae2:recipes/misc/misc/chests_smooth_sky_stone","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_certus_quartz_block","ae2:recipes/misc/misc/deconstruction_certus_quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_certus_quartz_bricks","ae2:recipes/misc/misc/deconstruction_certus_quartz_bricks","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_certus_quartz_pillar","ae2:recipes/misc/misc/deconstruction_certus_quartz_pillar","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_chiseled_certus_quartz","ae2:recipes/misc/misc/deconstruction_chiseled_certus_quartz","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_cut_certus_quartz_block","ae2:recipes/misc/misc/deconstruction_cut_certus_quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_fluix_block","ae2:recipes/misc/misc/deconstruction_fluix_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/deconstruction_smooth_certus_quartz_block","ae2:recipes/misc/misc/deconstruction_smooth_certus_quartz_block","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/fluixpearl","ae2:recipes/misc/misc/fluixpearl","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/tank_sky_stone","ae2:recipes/misc/misc/tank_sky_stone","<null>","minecraft:recipes/root"
"ae2:recipes/misc/misc/tiny_tnt","ae2:recipes/misc/misc/tiny_tnt","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/cell_workbench","ae2:recipes/misc/network/blocks/cell_workbench","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/controller","ae2:recipes/misc/network/blocks/controller","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/crank","ae2:recipes/misc/network/blocks/crank","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/crystal_processing_charger","ae2:recipes/misc/network/blocks/crystal_processing_charger","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/crystal_processing_growth_accelerator","ae2:recipes/misc/network/blocks/crystal_processing_growth_accelerator","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/energy_dense_energy_cell","ae2:recipes/misc/network/blocks/energy_dense_energy_cell","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/energy_energy_acceptor","ae2:recipes/misc/network/blocks/energy_energy_acceptor","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/energy_energy_acceptor_alt","ae2:recipes/misc/network/blocks/energy_energy_acceptor_alt","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/energy_energy_cell","ae2:recipes/misc/network/blocks/energy_energy_cell","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/energy_vibration_chamber","ae2:recipes/misc/network/blocks/energy_vibration_chamber","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/inscribers","ae2:recipes/misc/network/blocks/inscribers","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/interfaces_interface","ae2:recipes/misc/network/blocks/interfaces_interface","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/interfaces_interface_alt","ae2:recipes/misc/network/blocks/interfaces_interface_alt","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/interfaces_interface_part","ae2:recipes/misc/network/blocks/interfaces_interface_part","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/io_condenser","ae2:recipes/misc/network/blocks/io_condenser","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/io_port","ae2:recipes/misc/network/blocks/io_port","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/pattern_providers_interface","ae2:recipes/misc/network/blocks/pattern_providers_interface","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/pattern_providers_interface_alt","ae2:recipes/misc/network/blocks/pattern_providers_interface_alt","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/pattern_providers_interface_part","ae2:recipes/misc/network/blocks/pattern_providers_interface_part","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/quantum_link","ae2:recipes/misc/network/blocks/quantum_link","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/quantum_ring","ae2:recipes/misc/network/blocks/quantum_ring","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/spatial_anchor","ae2:recipes/misc/network/blocks/spatial_anchor","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/spatial_io_port","ae2:recipes/misc/network/blocks/spatial_io_port","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/spatial_io_pylon","ae2:recipes/misc/network/blocks/spatial_io_pylon","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/storage_chest","ae2:recipes/misc/network/blocks/storage_chest","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/blocks/storage_drive","ae2:recipes/misc/network/blocks/storage_drive","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_black","ae2:recipes/misc/network/cables/covered_black","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_blue","ae2:recipes/misc/network/cables/covered_blue","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_brown","ae2:recipes/misc/network/cables/covered_brown","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_cyan","ae2:recipes/misc/network/cables/covered_cyan","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_fluix","ae2:recipes/misc/network/cables/covered_fluix","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_fluix_clean","ae2:recipes/misc/network/cables/covered_fluix_clean","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_gray","ae2:recipes/misc/network/cables/covered_gray","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_green","ae2:recipes/misc/network/cables/covered_green","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_light_blue","ae2:recipes/misc/network/cables/covered_light_blue","<null>","minecraft:recipes/root"
"ae2:recipes/misc/network/cables/covered_light_gray","ae2:recipes/misc/network/cables/covered_light_gray","<null>","minecraft:recipes/root"
