"Registry name","Translation key","Default","Tracked"
"reach-entity-attributes:attack_range","attribute.name.generic.reach-entity-attributes.attack_range",0.0,"true"
"reach-entity-attributes:reach","attribute.name.generic.reach-entity-attributes.reach",0.0,"true"
"spell_power:air","attribute.name.spell_power.air",0.0,"true"
"spell_power:arcane","attribute.name.spell_power.arcane",0.0,"true"
"spell_power:critical_chance","attribute.name.spell_power.critical_chance",100.0,"true"
"spell_power:critical_damage","attribute.name.spell_power.critical_damage",100.0,"true"
"spell_power:earth","attribute.name.spell_power.earth",0.0,"true"
"spell_power:fire","attribute.name.spell_power.fire",0.0,"true"
"spell_power:frost","attribute.name.spell_power.frost",0.0,"true"
"spell_power:haste","attribute.name.spell_power.haste",100.0,"true"
"spell_power:healing","attribute.name.spell_power.healing",0.0,"true"
"spell_power:lightning","attribute.name.spell_power.lightning",0.0,"true"
"spell_power:resistance.generic","attribute.name.spell_power.resistance.generic",0.0,"true"
"spell_power:soul","attribute.name.spell_power.soul",0.0,"true"
"spell_power:water","attribute.name.spell_power.water",0.0,"true"
"stepheightentityattribute:stepheight","generic.step-height-entity-attributes.step-height",0.0,"true"
"thermoo:generic.frost_resistance","attribute.thermoo.generic.frost_resistance",0.0,"true"
"thermoo:generic.heat_resistance","attribute.thermoo.generic.heat_resistance",0.0,"true"
"thermoo:generic.max_temperature","attribute.thermoo.generic.max_temperature",0.0,"true"
"thermoo:generic.min_temperature","attribute.thermoo.generic.min_temperature",0.0,"true"
