"ID","Registry name","Fog Color","Sky Color","Water Color","Water Fog Color","Grass Color","Foliage Color"
10,"still_life:arctic_shallow_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x00414E71 (4279921)","0x0000081B (2075)","0x008F9164 (   9408868)","0x00837346 (   8614726)"
11,"still_life:arctic_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00BF825E (  12550750)","0x0091453E (   9520446)"
12,"still_life:arctic_wetlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F565E (4150878)","0x001C3435 (1848373)","0x009CAB79 (  10267513)","0x00837346 (   8614726)"
13,"still_life:arid_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x004588BD (4556989)","0x00041633 (267827)","0x00F6D389 (  16176009)","0x00B1B374 (  11645812)"
14,"still_life:arid_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00F2D699 (  15914649)","0x00B1B374 (  11645812)"
15,"still_life:arid_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00FEDFAB (  16703403)","0x00B1B374 (  11645812)"
16,"incendium:ash_barrens","0x005E5C62 (6184034)","0x006EB1FF (7254527)","0x003F3944 (4143428)","0x00423E42 (4341314)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
17,"minecraft:badlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0x0090814D (   9470285)","0x009E814D (  10387789)"
18,"minecraft:bamboo_jungle","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF65C732 ( -10107086)","0xFF2CC005 ( -13844475)"
19,"still_life:barren_arctic_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00B48F73 (  11833203)","0x00A5B350 (  10859344)"
20,"still_life:barren_caves","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
21,"still_life:barren_mediterranean_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00C8BD82 (  13155714)","0x0099A557 (  10069335)"
22,"still_life:barren_peaks","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00C1B17B (  12693883)","0x00A5A689 (  10856073)"
23,"still_life:barren_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00B48F73 (  11833203)","0x00A5B350 (  10859344)"
24,"minecraft:basalt_deltas","0x00685F70 (6840176)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
25,"minecraft:beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF9ABC53 (  -6636461)","0xFF77AF2B (  -8933589)"
26,"minecraft:birch_forest","0x00C0D8FF (12638463)","0x007AA5FF (8037887)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF92B95F (  -7161505)","0xFF69AC3C (  -9851844)"
27,"still_life:birch_forest","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0094B866 (   9746534)","0x0076A052 (   7774290)"
28,"betterend:blossoming_spires","0xFFF192E5 (-945435)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF7A2D7A (  -8770182)","0xFF7A2D7A (  -8770182)"
29,"still_life:bog","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F565E (4150878)","0x001C3435 (1848373)","0x00BB7E60 (  12287584)","0x0091453E (   9520446)"
30,"betternether:bone_reef","0xFF2FDDCA (-13640246)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
31,"still_life:boreal_alpine_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00B6AF6E (  11972462)","0x00A1A155 (  10592597)"
32,"still_life:boreal_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475966 (4675942)","0x000E181C (923676)","0x00789555 (   7902549)","0x00798B46 (   7965510)"
33,"minecraft:cherry_grove","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x005DB7EF (6141935)","0x005DB7EF (6141935)","0x00B6DB61 (  11983713)","0x00B6DB61 (  11983713)"
34,"betterend:chorus_forest","0xFF571A57 (-11068841)","0x00000000 (0)","0xFF491E49 (-11985335)","0xFF491E49 (-11985335)","0xFF7A2D7A (  -8770182)","0xFF7A2D7A (  -8770182)"
35,"still_life:cold_barren_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x0026291A (2500890)","0x00C1B17B (  12693883)","0x00A5A689 (  10856073)"
36,"still_life:cold_deep_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x00445B77 (4479863)","0x00000C1C (3100)","0x00AEA96F (  11446639)","0x00B97346 (  12153670)"
37,"still_life:cold_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x000E181C (923676)","0x00C8B887 (  13154439)","0x00A5957B (  10851707)"
38,"minecraft:cold_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003D57D6 (4020182)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
39,"still_life:cold_semi_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x000E181C (923676)","0x00CDBD84 (  13483396)","0x00A5A689 (  10856073)"
40,"still_life:cold_shallow_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x00445B77 (4479863)","0x00000C1C (3100)","0x00AEA96F (  11446639)","0x00B97346 (  12153670)"
41,"still_life:cold_steppe","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x000E181C (923676)","0x00A5C06D (  10862701)","0x0082AC55 (   8563797)"
42,"still_life:cold_taiga","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475966 (4675942)","0x000E181C (923676)","0x00868E55 (   8818261)","0x00A19546 (  10589510)"
43,"still_life:cold_taiga_clearings","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475966 (4675942)","0x000E181C (923676)","0x0099A055 (  10068053)","0x00A19546 (  10589510)"
44,"still_life:cold_tundra_beach","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x00414E71 (4279921)","0x0000081B (2075)","0x008F9164 (   9408868)","0x00837346 (   8614726)"
45,"minecraft:crimson_forest","0x00330303 (3343107)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
46,"betternether:crimson_glowing_woods","0xFF330303 (-13434109)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
47,"betternether:crimson_pinewood","0xFF330303 (-13434109)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
48,"galosphere:crystal_canyons","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
49,"betterend:crystal_mountains","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFFF85D3 (    -31277)","0xFFFF85D3 (    -31277)"
50,"nullscape:crystal_peaks","0x00A080A0 (10518688)","0x00000000 (0)","0x009883D5 (9995221)","0x00050533 (329011)","0x00A388D8 (  10717400)","0x004599D9 (   4561369)"
51,"minecraft:dark_forest","0x00C0D8FF (12638463)","0x0079A6FF (7972607)","0x003F76E4 (4159204)","0x00050533 (329011)","0x0055792E (   5601582)","0xFF57B22C ( -11029972)"
52,"minecraft:deep_cold_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003D57D6 (4020182)","0x000B1029 (725033)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
53,"minecraft:deep_dark","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF9ABC53 (  -6636461)","0xFF77AF2B (  -8933589)"
54,"minecraft:deep_frozen_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003938C9 (3750089)","0x000B0A26 (723494)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
55,"minecraft:deep_lukewarm_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x0045ADF2 (4566514)","0x000D212E (860462)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
56,"minecraft:deep_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x000C162B (792107)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
57,"terrablender:deferred_placeholder","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
58,"minecraft:desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
59,"still_life:desert_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00F2D699 (  15914649)","0x00B1B374 (  11645812)"
60,"still_life:desert_wetlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00776B52 (7826258)","0x002A1D12 (2759954)","0x00B8BF68 (  12107624)","0x00B0BD64 (  11582820)"
61,"betterend:dragon_graveyards","0xFFF42E4F (-774577)","0x00000000 (0)","0xFFCB3BA7 (-3458137)","0xFFCB3BA7 (-3458137)","0xFFF42E4F (   -774577)","0xFFF42E4F (   -774577)"
62,"minecraft:dripstone_caves","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF9ABC53 (  -6636461)","0xFF77AF2B (  -8933589)"
63,"still_life:dry_cold_steppe","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x000E181C (923676)","0x00C5C476 (  12960886)","0x00A5A689 (  10856073)"
64,"betterend:dry_shrubland","0xFF84230D (-8117491)","0x00000000 (0)","0xFF715835 (-9349067)","0xFF715835 (-9349067)","0xFFED7A42 (  -1213886)","0xFFED7A42 (  -1213886)"
65,"still_life:dry_tropical_highlands","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00BCB264 (  12366436)","0x0088A239 (   8954425)"
66,"betterend:dust_wastelands","0xFFE2EFA8 (-1904728)","0x00000000 (0)","0xFFC0B483 (-4148093)","0xFFC0B483 (-4148093)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
67,"betterend:empty_aurora_cave","0xFF961E44 (-6939068)","0x00000000 (0)","0xFFBA4DED (-4567571)","0xFFBA4DED (-4567571)","0xFF6C192E (  -9692882)","0xFF6C192E (  -9692882)"
68,"betterend:empty_end_cave","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
69,"betterend:empty_smaragdant_cave","0xFF00FDB6 (-16712266)","0x00000000 (0)","0xFF1FA7D4 (-14702636)","0xFF1FA7D4 (-14702636)","0xFF008391 ( -16743535)","0xFF008391 ( -16743535)"
70,"minecraft:end_barrens","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
71,"minecraft:end_highlands","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
72,"minecraft:end_midlands","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
73,"minecraft:eroded_badlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0x0090814D (   9470285)","0x009E814D (  10387789)"
74,"still_life:evergreen_taiga","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475966 (4675942)","0x000E181C (923676)","0x00789555 (   7902549)","0x00798B46 (   7965510)"
75,"still_life:fen","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x008F9263 (   9409123)","0x00978E46 (   9932358)"
76,"betternether:flooded_deltas","0xFF685F70 (-9937040)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
77,"still_life:flooded_grasslands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0064775E (6584158)","0x0026291A (2500890)","0x00B8BF70 (  12107632)","0x009CA66C (  10266220)"
78,"still_life:flooded_savanna","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00C6BF6C (  13025132)","0x00A5B350 (  10859344)"
79,"minecraft:flower_forest","0x00C0D8FF (12638463)","0x0079A6FF (7972607)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF83BE53 (  -8143277)","0xFF57B22C ( -11029972)"
80,"betterend:foggy_mushroomland","0xFF297AAD (-14058835)","0x00000000 (0)","0xFF77E3FA (-8920070)","0xFF77E3FA (-8920070)","0xFF49D2D1 ( -11939119)","0xFF49D2D1 ( -11939119)"
81,"minecraft:forest","0x00C0D8FF (12638463)","0x0079A6FF (7972607)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF83BE53 (  -8143277)","0xFF57B22C ( -11029972)"
82,"still_life:frozen_caves","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
83,"minecraft:frozen_ocean","0x00C0D8FF (12638463)","0x007FA1FF (8364543)","0x003938C9 (3750089)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
84,"minecraft:frozen_peaks","0x00C0D8FF (12638463)","0x00859DFF (8756735)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
85,"minecraft:frozen_river","0x00C0D8FF (12638463)","0x007FA1FF (8364543)","0x003938C9 (3750089)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
86,"still_life:glacial_basin","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00DBCB6E (  14404462)","0x00A5B350 (  10859344)"
87,"still_life:glowing_caves","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
88,"betterend:glowing_grasslands","0xFF63E4F7 (-10230537)","0x00000000 (0)","0xFF5CFAE6 (-10683674)","0xFF5CFAE6 (-10683674)","0xFF49D2D1 ( -11939119)","0xFF49D2D1 ( -11939119)"
89,"still_life:grassland_savanna","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00F2DA8A (  15915658)","0x00A5B350 (  10859344)"
90,"betternether:gravel_desert","0xFFAA3000 (-5623808)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
91,"minecraft:grove","0x00C0D8FF (12638463)","0x0081A0FF (8495359)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
92,"still_life:haunted_depths","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0031391D (   3225885)","0x00313625 (   3225125)"
93,"still_life:humid_savanna","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00A0BC5A (  10533978)","0x00719C36 (   7445558)"
94,"minecraft:ice_spikes","0x00C0D8FF (12638463)","0x007FA1FF (8364543)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
95,"betterend:ice_starfield","0xFFE0F5FE (-2034178)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFFC1F4F4 (  -4066060)"
96,"incendium:infernal_dunes","0x00684E4B (6835787)","0x00CF5E00 (13590016)","0x003F76E4 (4159204)","0x00423E42 (4341314)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
97,"still_life:infested_tunnels","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
98,"incendium:inverted_forest","0x001A051A (1705242)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
99,"betterend:jade_cave","0xFF769670 (-9005456)","0x00000000 (0)","0xFF5FDFFF (-10493953)","0xFF5FDFFF (-10493953)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
100,"minecraft:jagged_peaks","0x00C0D8FF (12638463)","0x00859DFF (8756735)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
101,"minecraft:jungle","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF65C732 ( -10107086)","0xFF2CC005 ( -13844475)"
102,"betterend:lantern_woods","0xFFBD5246 (-4369850)","0x00000000 (0)","0xFFABEAE2 (-5510430)","0xFFABEAE2 (-5510430)","0xFFFE5539 (   -109255)","0xFFFE5539 (   -109255)"
103,"still_life:larch_woodlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x0097A35A (   9937754)","0x00C2A544 (  12756292)"
104,"galosphere:lichen_caves","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
105,"minecraft:lukewarm_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x0045ADF2 (4566514)","0x00041633 (267827)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
106,"betterend:lush_aurora_cave","0xFF961E44 (-6939068)","0x00000000 (0)","0xFFBA4DED (-4567571)","0xFFBA4DED (-4567571)","0xFF6C192E (  -9692882)","0xFF6C192E (  -9692882)"
107,"minecraft:lush_caves","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
108,"betterend:lush_smaragdant_cave","0xFF00FDB6 (-16712266)","0x00000000 (0)","0xFF1FA7D4 (-14702636)","0xFF1FA7D4 (-14702636)","0xFF008391 ( -16743535)","0xFF008391 ( -16743535)"
109,"still_life:lush_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00AEA96F (  11446639)","0x00B97346 (  12153670)"
110,"betternether:magma_land","0xFFF89E44 (-483772)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
111,"still_life:mangrove_marsh","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003A7A6A (3832426)","0x004D7A60 (5077600)","0x00A5B15D (  10858845)","0x008DB127 (   9285927)"
112,"minecraft:mangrove_swamp","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003A7A6A (3832426)","0x004D7A60 (5077600)","0x006A7039 (   6975545)","0x008DB127 (   9285927)"
113,"minecraft:meadow","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x000E4ECF (937679)","0x00050533 (329011)","0xFF8CB865 (  -7554971)","0xFF62AC45 ( -10310587)"
114,"still_life:mediterranean_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x004588BD (4556989)","0x00041633 (267827)","0x00D1C975 (  13748597)","0x0095B04D (   9809997)"
115,"still_life:mediterranean_forest","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00B7C16C (  12042604)","0x0095B04D (   9809997)"
116,"still_life:mediterranean_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00CEC580 (  13550976)","0x00A1A989 (  10594697)"
117,"still_life:mediterranean_marsh","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00C9CA79 (  13224569)","0x0095B04D (   9809997)"
118,"still_life:mediterranean_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00CFCA79 (  13617785)","0x0095B04D (   9809997)"
119,"still_life:mediterranean_shrubland","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00CFCA79 (  13617785)","0x0095B04D (   9809997)"
120,"still_life:mediterranean_steppe","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00E1C781 (  14796673)","0x00A39660 (  10720864)"
121,"still_life:mediterranean_swamp","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00B7C16C (  12042604)","0x0095B04D (   9809997)"
122,"still_life:mediterranean_wooded_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00ADB36C (  11383660)","0x00A5B350 (  10859344)"
123,"betterend:megalake","0xFFB2D1F8 (-5058056)","0x00000000 (0)","0xFF60A3FF (-10443777)","0xFF60A3FF (-10443777)","0xFF49D2D1 ( -11939119)","0xFF49D2D1 ( -11939119)"
124,"betterend:megalake_grove","0xFFB2D1F8 (-5058056)","0x00000000 (0)","0xFF60A3FF (-10443777)","0xFF60A3FF (-10443777)","0xFF49D2D1 ( -11939119)","0xFF49D2D1 ( -11939119)"
125,"still_life:mire","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x007C7550 (8156496)","0x0026201A (2498586)","0x00AC9F6A (  11313002)","0x007A8C55 (   8031317)"
126,"still_life:mixed_forest_steppe","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0096BD60 (   9878880)","0x0082AC55 (   8563797)"
127,"still_life:monsoon_forest","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x0040785D (4225117)","0x000A1B13 (662291)","0x008AAB43 (   9087811)","0x00719C36 (   7445558)"
128,"still_life:mushroom_caves","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
129,"minecraft:mushroom_fields","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF61C634 ( -10369484)","0xFF27C009 ( -14172151)"
130,"betterend:neon_oasis","0xFFE2EFA8 (-1904728)","0x00000000 (0)","0xFF6AEED7 (-9769257)","0xFF6AEED7 (-9769257)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
131,"betternether:nether_grasslands","0xFF714985 (-9352827)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
132,"betternether:nether_jungle","0xFF3EA93D (-12670659)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
133,"betternether:nether_mushroom_forest","0xFFA6265F (-5888417)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
134,"betternether:nether_mushroom_forest_edge","0xFFC8799D (-3638883)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
135,"betternether:nether_swampland","0xFF89134E (-7793842)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
136,"betternether:nether_swampland_terraces","0xFF89134E (-7793842)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
